Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"5,837,936","1,016,004","769,390","650,394","648,875","11,503,116","21,904,947","9,424,537","8,212,282","12,359,127","6,189.00","25,293.00",7.13,11.14,5.37,2.95,"121,283","Quý 1/2015
01/01-31/03
CKT/HN"
"6,581,723","1,034,355","591,764","495,577","473,638","11,745,430","22,089,106","10,123,759","9,096,774","11,796,575","6,865.00","24,479.00",7.72,7.53,4.07,2.20,"168,771","Quý 4/2014
01/10-31/12
CKT/HN"
"5,746,859","1,329,831","1,068,612","880,372","856,870","10,847,244","21,053,865","9,431,875","7,954,228","11,475,158","7,163.00","23,812.00",8.03,15.32,7.73,4.14,"146,832","Quý 3/2014
01/07-30/09
CKT/HN"
"6,681,268","1,432,740","1,081,377","964,061","943,394","10,185,268","20,349,748","9,608,604","8,123,653","10,698,029","6,589.00","22,199.00",8.20,14.43,8.98,4.49,"43,114","Quý 2/2014
01/04-30/06
CKT/HN"
"6,515,499","1,389,670","1,067,880","910,211","870,356","11,110,330","21,669,753","11,256,742","9,163,716","10,309,475","5,650.00","24,602.00",9.38,13.97,8.79,3.89,"103,536","Quý 1/2014
01/01-31/03
CKT/HN"
"6,460,281","1,091,323","585,214","490,028","489,600","12,287,302","22,961,194","13,376,798","11,012,051","9,497,763","4,663.00","22,665.00",8.81,7.59,5.26,2.15,"86,633","Quý 4/2013
01/10-31/12
CKT/HN"
"4,194,847","656,973","601,100","507,776","496,088","11,805,583","22,528,534","12,875,533","10,345,317","9,105,589","4,074.00","21,729.00",8.62,12.10,5.47,2.27,"547,413","Quý 3/2013
01/07-30/09
CKT/HN"
"4,344,895","861,439","602,183","532,148","511,597","10,883,282","21,152,503","11,589,079","9,013,228","9,028,296","3,729.00","21,545.00",7.56,12.25,5.83,2.54,"535,129","Quý 2/2013
01/04-30/06
CKT/HN"
"3,934,269","691,621","573,297","480,513","456,932","9,713,925","19,193,358","10,160,699","6,247,447","8,516,719","3,425.00","20,324.00",7.59,12.21,5.50,2.39,"515,941","Quý 1/2013
01/01-31/03
CKT/HN"
"4,235,523","706,392","185,436","178,146","175,143","10,146,971","18,956,683","10,379,090","7,302,894","8,085,165","2,890.00","19,294.00",7.27,4.21,2.14,0.96,"492,427","Quý 4/2012
01/10-31/12
CKT/HN"
"4,021,991","540,438","359,198","309,519","288,764","9,582,380","17,543,756","8,760,381","5,453,672","8,293,950","2,870.00","23,751.00",6.72,7.70,3.54,1.64,"489,424","Quý 3/2012
01/07-30/09
CKT/HN"
"4,548,272","681,451","393,236","340,113","332,420","9,782,538","17,716,553","9,449,060","6,222,153","8,005,760","2,372.00","22,925.00",10.12,7.48,4.26,1.92,"261,733","Quý 2/2012
01/04-30/06
CKT/HN"
"4,085,721","546,711","251,753","200,049","195,294","8,643,967","16,863,782","8,702,770","5,555,310","7,608,571","2,812.00","21,788.00",8.21,4.90,2.60,1.14,"552,441","Quý 1/2012
01/01-31/03
CKT/HN"
"4,432,313","570,596","178,902","143,079","136,934","9,416,177","17,449,188","9,489,276","7,119,697","7,409,645","3,869.00","23,312.00",4.52,3.23,1.86,0.79,"550,267","Quý 4/2011
01/10-31/12
CKT/HN"
"4,145,948","565,736","157,001","110,824","101,945","9,269,956","17,321,283","9,477,790","6,738,241","7,299,169","4,776.00","22,964.00",5.78,2.67,1.41,0.58,"544,323","Quý 3/2011
01/07-30/09
CKT/HN"
"4,509,422","805,196","525,086","474,311","455,742","9,958,608","17,598,283","9,877,849","6,826,817","7,184,985","5,585.00","22,605.00",5.48,10.52,6.48,2.64,"535,449","Quý 2/2011
01/04-30/06
CKT/HN"
"4,747,507","989,448","658,324","553,165","526,349","9,381,831","16,871,064","9,582,899","6,692,483","6,876,002","5,781.00","21,633.00",6.05,11.65,7.93,3.31,"412,164","Quý 1/2011
01/01-31/03
CKT/HN"
"4,487,251","812,461","471,653","414,775","403,797","7,882,462","14,924,424","8,182,000","6,137,182","6,403,584","5,434.00","20,147.00",7.12,9.24,6.61,2.75,"338,839","Quý 4/2010
01/10-31/12
CKT/HN"
