Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"27,540,825","2,952,403","1,166,756","1,134,267","1,029,259","30,032,665","50,745,433","33,320,372","30,054,308","17,425,060","3,225.00","16,285.00",,4.12,6.11,2.03,,"Quý 1/2015
01/01-31/03
CKT/HN"
"33,654,787","2,827,852","1,099,174","1,003,004","903,147","30,982,424","51,009,038","34,782,069","31,542,132","16,226,969","2,625.00","15,165.00",,2.98,6.28,1.77,,"Quý 4/2014
01/10-31/12
CKT/HN"
"32,882,056","3,122,578","581,468","556,679","489,470","31,313,512","51,136,208","35,656,368","30,334,191","12,558,189",542.00,"11,737.00",,1.69,3.96,0.91,"2,921,650","Quý 3/2014
01/07-30/09
CKT/HN"
"43,565,623","3,672,134","1,184,247","1,125,148","1,028,637","36,204,817","56,251,606","41,217,796","36,393,786","12,147,028",464.00,"11,352.00",,2.58,8.64,1.85,"2,886,782","Quý 2/2014
01/04-30/06
CKT/HN"
"37,936,576","2,781,568","415,329","461,003","387,846","34,123,331","54,898,647","40,370,426","34,936,501","11,675,766",-168.00,"10,912.00",,1.22,3.38,0.70,"2,852,455","Quý 1/2014
01/01-31/03
CKT/HN"
"48,222,200","915,967","-1,468,432","-1,145,133","-1,325,860","36,639,295","57,333,008","43,602,023","37,911,857","10,896,866",-325.00,"10,184.00",,-2.37,-11.42,-2.17,"2,834,119","Quý 4/2013
01/10-31/12
CKT/HN"
"52,163,757","1,994,242","439,846","480,199","405,912","44,438,539","64,780,839","49,697,667","44,584,895","12,315,430","1,261.00","11,510.00",,0.92,3.35,0.63,"2,767,742","Quý 3/2013
01/07-30/09
CKT/HN"
"55,653,318","2,454,145","306,007","416,279","352,005","44,002,290","64,102,470","49,503,193","44,783,505","11,911,104","1,435.00","11,132.00",,0.75,2.81,0.54,"2,688,173","Quý 2/2013
01/04-30/06
CKT/CTM"
"50,489,763","1,797,554","201,354","255,720","220,101","44,738,564","65,263,150","49,422,875","43,109,049","13,118,019","1,536.00","12,260.00",,0.51,1.69,0.36,"2,722,257","Quý 3/2013
01/07-30/09
CKT/HN"
"49,759,072","1,702,178","219,328","434,632","370,737","36,726,281","57,434,533","41,725,445","36,178,342","13,007,637","1,533.00","12,157.00",,0.87,2.90,0.63,"2,701,452","Quý 2/2013
01/04-30/06
CKT/CTM"
"46,382,079","2,087,493","569,356","637,534","592,500","40,475,259","60,986,723","45,758,029","40,313,097","12,587,383","1,186.00","11,764.00",,1.37,5.08,1.16,"2,641,311","Quý 1/2013
01/01-31/03
CKT/HN"
"38,697,410","610,755","300,136","460,046","460,046","31,453,580","41,293,700","30,541,644","29,842,142","10,752,056",983.00,"10,049.00",,1.19,4.06,0.92,,"Quý 3/2012
01/07-30/09
CKT/HN"
"46,382,079","2,087,493","569,356","637,534","592,500","40,475,259","60,986,723","45,758,029","40,313,097","12,587,383","1,186.00","11,764.00",,1.37,5.08,1.16,"2,641,311",
"38,697,410","610,755","300,136","460,046","460,046","31,453,580","41,293,700","30,541,644","29,842,142","10,752,056",983.00,"10,049.00",,1.19,4.06,0.92,,
"51,080,365","1,661,069","37,878","244,787","216,805","38,153,691","58,879,230","44,344,546","38,962,911","11,896,285",553.00,"11,118.00",,0.48,1.84,0.38,"2,638,399",
"49,013,119","2,184,144","358,501","422,957","374,684","37,818,164","58,160,427","43,701,888","37,540,928","11,845,775",350.00,"11,071.00",,0.86,6.33,1.29,"2,612,764",
