Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"1,768,706","1,148,111","821,370","655,631","567,135","199,380,170","23,317,555","119,572,248","183,425,608","29,656,727","129,966,300","15,954,562","11,852,342","2,279,482","2,458.00","16,264.00",15.81,3.49,0.29,"Quý 3/2018
01/07-30/09
CKT/HN"
"1,884,382","1,099,993","1,015,796","819,901","738,032","191,293,246","23,538,842","118,965,247","174,717,115","26,372,072","126,776,964","16,576,131","11,852,342","2,987,646","2,674.00","16,897.00",13.52,4.56,0.39,"Quý 2/2018
01/04-30/06
CKT/HN"
"1,831,440","1,009,080","1,046,758","833,914","757,260","190,374,307","19,681,403","114,673,489","174,595,050","41,010,855","117,302,099","15,779,257","11,852,342","2,526,763","2,280.00","16,085.00",20.13,4.96,0.40,"Quý 1/2018
01/01-31/03
CKT/HN"
"1,744,818","1,158,046","504,505","416,840","348,693","189,334,259","21,861,168","103,336,328","174,575,168","37,217,378","120,537,469","14,759,091","11,852,342","1,769,492","1,780.00","15,045.00",0,2.68,0.19,"Quý 4/2017
01/10-31/12
CKT/HN"
"1,863,886","1,051,472","1,031,193","824,533","778,973","174,594,270","20,772,785","95,489,766","163,307,433","27,568,310","118,116,320","11,286,837","8,104,686","2,017,947","2,161.00","13,934.00",0,7.10,0.45,"Quý 3/2017
01/07-30/09
CKT/HN"
"1,410,024","990,128","493,721","403,424","351,649","169,528,338","22,723,038","95,875,982","158,879,493","25,107,076","115,710,751","10,648,845","8,104,686","1,364,964","1,281.00","13,147.00",0,3.37,0.21,"Quý 2/2017
01/04-30/06
CKT/HN"
"1,356,097","893,980","387,347","309,596","267,158","163,349,249","24,105,563","87,142,559","153,101,799","20,074,349","112,876,523","10,247,450","8,104,686","1,014,205","1,161.00","12,651.00",,2.65,0.17,"Quý 1/2017
01/01-31/03
CKT/HN"
"1,377,535","992,130","502,816","400,901","352,855","150,294,272","18,580,047","81,303,975","140,351,629","19,684,665","103,299,771","9,942,643","8,104,686","747,047","1,072.00","12,275.00",,3.60,0.24,"Quý 4/2016
01/10-31/12
CKT/HN"
"1,176,407","831,101","142,327","115,346","65,922","138,872,460","16,047,689","73,448,682","129,217,316","14,160,842","97,815,709","9,655,144","8,104,686","547,633",636.00,"11,920.00",,0.68,0.05,"Quý 3/2016
01/07-30/09
CKT/HN"
"1,172,805","769,277","341,378","297,772","254,639","129,336,846","14,718,584","70,820,244","119,653,479","11,741,010","93,167,357","9,683,367","8,104,686","606,711",585.00,"11,955.00",,2.57,0.21,"Quý 2/2016
01/04-30/06
CKT/HN"
"1,020,925","700,006","289,724","230,659","194,897","118,950,018","15,502,467","65,555,709","108,851,444","8,095,321","86,085,606","10,098,574","8,104,686","1,143,507",422.00,"12,467.00",,1.95,0.17,"Quý 1/2016
01/01-31/03
CKT/HN"
"778,375","599,775","63,439","49,741","24,445",,,,,,,,,,0,0,,0,0,"Quý 3/2015
01/07-30/09
CKT/HN"
"714,639","577,269","172,186","136,352","122,805",,,,,,,,,,0,0,,0,0,"Quý 2/2015
01/04-30/06
CKT/HN"
"681,294","474,916","166,283","131,240","131,240",,,,,,,,,,0,0,,0,0,"Quý 1/2015
01/01-31/03
CKT/HN"
"318,721","408,874","31,150","23,303","23,303","76,279,586","6,444,100","31,464,558","67,652,894","7,646,374","55,477,284","8,626,692","8,104,686","306,634",131.00,"10,650.00",,0.27,0.03,"Quý 1/2014
01/01-31/03
CKT/HN"
"226,179","236,793","7,753","6,237","6,237","60,850,697","8,859,665","25,164,260","55,614,311","10,147,184","43,271,668","5,236,386","5,004,043","139,770",279.00,"10,473.00",,0.12,0.01,"Quý 3/2013
01/07-30/09
CKT/ĐL"
"-5,266","134,158","63,901","76,807","76,807","58,615,599","5,308,972","22,352,120","53,413,060","7,494,822","42,827,454","5,202,539","5,004,043","133,533",266.00,"10,405.00",,1.44,0.13,"Quý 2/2013
01/04-30/06
CKT/ĐL"
"130,408","212,386","74,818","56,306","56,306","60,734,960","5,947,455","22,638,356","55,287,923","6,382,633","44,787,994","5,447,037","5,004,043","392,565",113.00,"10,894.00",,1.04,0.10,"Quý 1/2013
01/01-31/03
CKT/ĐL"
"130,408","212,386","74,818","56,306","56,306","60,734,960","5,947,455","22,638,356","55,287,923","6,382,633","44,787,994","5,447,037","5,004,043","392,565",113.00,"10,894.00",,1.04,0.10,"Quý 1/2013
01/01-31/03
CKT/ĐL"
,,,,,"43,688,289","10,958,554","13,340,960","40,222,019","6,464,262","22,789,265","3,466,270","3,004,043","383,017",0,"11,554.00",,0,0,"Quý 3/2011
01/07-30/09
CKT/ĐL"
"22,251","32,427","12,242","9,359","9,359","9,538,151","1,119,228","6,480,879","8,439,470","3,060,105","3,855,933","1,098,681","1,000,000","33,266",333.00,"10,987.00",,0.85,0.09,"Quý 2/2008
01/04-30/06
CKT/ĐL"
"17,260","29,957","30,511","23,907","23,907","11,226,241","1,611,543","7,145,347","10,133,356","4,757,796","4,228,740","1,092,885","1,000,000","24,974",239.00,"10,929.00",,2.61,0.19,"Quý 1/2008
01/01-31/03
CKT/ĐL"
