Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"8,064,068","3,192,210","3,134,852","2,514,276","2,514,276","377,213,836","20,097,552","253,099,865","334,996,327","50,867,989","213,949,567","42,217,509","23,296,370","11,812,568","3,376.00","17,318.00",5.92,6.08,0.68,"Quý 4/2018
01/10-31/12
CKT/HN"
"7,976,967","3,122,220","2,856,406","2,282,601","2,282,601","358,236,462","16,300,937","249,770,616","317,745,218","40,102,564","205,585,380","40,491,244","24,096,960","10,585,784","3,341.00","16,482.00",6.60,5.80,0.65,"Quý 3/2018
01/07-30/09
CKT/HN"
"7,426,394","3,043,733","2,560,075","2,048,831","2,048,831","348,732,250","19,982,265","243,517,843","310,523,858","45,436,427","197,362,899","38,208,392","24,096,960","8,303,182","3,005.00","15,552.00",6.29,5.51,0.61,"Quý 2/2018
01/04-30/06
CKT/HN"
"6,785,452","2,975,846","1,782,537","1,421,883","1,421,883","322,080,319","8,637,912","227,412,319","285,900,416","39,855,246","188,117,243","36,179,903","24,096,960","4,874,914","3,043.00","14,727.00",6.64,4.01,0.44,"Quý 1/2018
01/01-31/03
CKT/HN"
"6,512,651","2,841,032","3,073,537","2,455,423","2,455,423","323,308,442","16,571,491","217,893,250","288,558,373","54,231,451","170,850,871","34,750,069","24,096,960","6,102,257","3,722.00","14,145.00",5.36,7.36,0.79,"Quý 4/2017
01/10-31/12
CKT/HN"
"6,002,414","3,104,244","1,749,450","1,399,150","1,399,150","296,216,159","6,446,969","196,150,699","264,229,195","37,990,284","156,441,918","31,986,964","24,096,960","4,900,996","3,992.00","13,020.00",6.71,4.31,0.47,"Quý 3/2017
01/07-30/09
CKT/HN"
"6,159,594","2,299,904","1,756,511","1,415,020","1,415,020","293,140,690","18,196,723","195,163,848","260,148,740","31,843,245","151,302,335","32,991,950","21,572,335","7,841,754","5,023.00","22,033.00",5.71,4.38,0.49,"Quý 2/2017
01/04-30/06
CKT/HN"
"6,026,916","2,388,778","2,618,975","2,089,292","2,089,292","284,388,078","23,126,653","185,628,816","252,752,850","24,718,966","143,121,084","31,635,228","21,572,335","3,760,217","4,836.00","21,127.00",13.34,6.81,0.74,"Quý 1/2017
01/01-31/03
CKT/HN"
"5,680,535","2,576,067","2,490,553","1,937,614","1,937,614","277,750,092","17,520,024","179,517,453","248,056,817","33,200,418","133,550,812","29,693,275","21,572,335","5,370,262","4,551.00","19,830.00",9.01,6.76,0.73,"Quý 4/2016
01/10-31/12
CKT/HN"
"5,362,519","2,280,882","2,371,552","1,894,542","1,894,542","253,847,293","6,053,720","165,142,508","226,222,971","18,985,620","127,775,507","27,624,322","21,572,336","1,749,192","4,445.00","20,728.00",8.44,8.04,0.75,"Quý 3/2016
01/07-30/09
CKT/HN"
