Doanh thu thuần,LN gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích CĐ thiểu số,Time
"5,863,202","823,375","-212,918","709,345","697,153","37,007,108","82,887,133","68,234,089","68,110,157","14,653,044","2,437.00","21,534.00",23.59,12.1,11.79,2.22,,"Quý 2/2018
01/04-30/06
CKT/HN"
"5,070,056","409,537","-500,935","393,637","380,485","30,561,636","75,107,586","61,038,749","60,923,530","14,068,837","1,975.00","20,675.00",29.98,7.76,9.78,1.92,,"Quý 1/2018
01/01-31/03
SX/HN"
"5,387,949","552,499","-493,452","275,467","263,999","29,515,088","73,078,645","59,164,152","59,056,051","13,914,493","1,979.00","20,448.00",29.41,5.11,9.9,2.01,,"Quý 4/2017
01/10-31/12
CKT/HN"
"4,882,744","320,421","-457,799","325,431","316,798","25,672,147","67,424,441","53,783,925","53,685,012","13,640,515","1,890.00","20,046.00",37.52,6.66,9.58,2.03,,"Quý 3/2017
01/07-30/09
SX/HN"
"4,679,370","321,775","-353,550","396,522","382,408","24,450,278","64,364,240","51,049,276","50,958,262","13,314,965","1,744.00","19,567.00",33.82,8.47,8.95,1.99,,"Quý 2/2017
01/04-30/06
CKT/HN"
"4,027,888","179,857","-330,495","392,601","383,403","23,787,155","62,677,304","49,140,948","49,057,749","13,536,357","1,695.00","19,893.00",29.5,9.75,8.79,2.04,,"Quý 1/2017
01/01-31/03
SX/HN"
"4,203,231","-192,225",0,"211,517","203,388","22,705,631","58,596,329","45,401,272","10,867,214","13,195,057","1,652.00","19,391.00",32.08,5.03,8.73,2.12,,"Quý 4/2016
01/10-31/12
CKT/HN"
"3,905,194","95,493",0,"228,351","217,782","25,070,493","53,533,833","40,547,191","40,461,651","12,986,642","1,851.00","19,085.00",25.12,5.85,9.96,2.5,,"Quý 3/2016
01/07-30/09
SX/HN"
"3,820,493","271,393",0,"360,720","348,632","24,503,348","50,791,920","38,033,263","37,957,838","12,758,657","1,995.00","18,750.00",20.55,9.44,10.96,2.77,,"Quý 2/2016
01/04-30/06
CKT/HN"
"3,393,190","395,569",0,"370,671","354,388","23,829,474","49,534,425","36,381,821","6,170,807","12,564,189","1,810.00","18,464.00",18.9,10.92,10.17,2.35,"588,415","Quý 1/2016
01/01-31/03
SX/HN"
"3,533,803","352,754","-561,383","355,864","338,828","20,388,337","47,529,182","34,701,490","6,069,296","12,254,373","1,881.00","18,009.00",17.02,10.07,10.57,2.32,"573,319","Quý 4/2015
01/10-31/12
CKT/HN"
"3,302,027","345,330","-337,729","327,339","315,564","21,140,097","48,419,674","35,887,432","8,105,368","11,973,586","1,832.00","17,596.00",21.95,9.91,10.33,2.18,"558,656","Quý 3/2015
01/07-30/09
CKT/HN"
"3,174,939","489,104","-163,403","228,808","222,655","28,759,668","63,892,761","50,194,382","8,944,273","11,649,889","1,780.00","17,120.00",23.03,7.21,10.07,2.09,"2,048,490","Quý 2/2015
01/04-30/06
CKT/HN"
"2,022,284","432,956","-184,470","444,390","402,632","26,950,099","60,780,835","46,136,144","6,901,761","12,527,578","1,719.00","18,410.00",26.23,21.97,9.55,2.16,"2,117,113","Quý 1/2015
01/01-31/03
CKT/HN"
