Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"766,800","474,748","258,668","226,368","226,368","149,087,110","17,557,298","87,296,789","140,445,962","35,156,390","89,780,907","8,641,148","7,688,000","779,589",796.00,"11,240.00",,2.65,0.16,"Quý 2/2018
01/04-30/06
CKT/HN"
"657,415","457,921","150,415","150,215","150,215","141,297,812","13,700,931","84,786,944","132,880,607","33,683,806","87,264,525","8,417,205","7,688,000","568,925",692.00,"10,948.00",,1.80,0.11,"Quý 1/2018
01/01-31/03
CKT/HN"
"532,667","450,894","212,405","91,290","91,290","140,487,187","19,139,676","83,008,343","132,185,683","29,248,786","84,344,557","8,301,505","7,688,000","418,710",642.00,"10,798.00",,1.23,0.07,"Quý 4/2017
01/10-31/12
CKT/CTM"
"404,232","382,740","150,142","144,366","144,366","126,371,668","14,790,803","76,770,290","119,866,168","16,311,298","91,988,956","6,505,503","5,465,826","873,048",875.00,"11,902.00",,2.25,0.11,"Quý 3/2017
01/07-30/09
CKT/HN"
"693,450","416,111","147,761","145,761","145,761","129,483,565","16,755,633","75,222,303","123,144,800","24,361,949","88,633,966","6,338,765","5,465,826","737,955",800.00,"11,597.00",,2.31,0.12,"Quý 2/2017
01/04-30/06
CKT/HN"
"528,878","383,111","112,129","111,929","111,929","121,181,368","10,024,393","72,413,370","114,911,750","25,712,783","82,931,355","6,269,618","5,465,881","601,295",627.00,"11,471.00",,1.80,0.09,"Quý 2/2017
01/04-30/06
CKT/HN"
"581,532","365,356","141,018","76,166","76,166","125,072,631","17,229,944","69,921,052","118,937,063","32,601,506","80,151,989","6,135,568","5,465,881","525,771",519.00,"11,225.00",,1.25,0.06,"Quý 1/2017
01/01-31/03
CKT/HN"
"495,656","316,618","111,099","103,354","103,354","111,790,625","9,918,769","64,951,324","105,768,596","26,143,902","74,415,504","6,022,029","5,465,881","460,733",380.00,"11,018.00",,1.73,0.09,"Quý 3/2016
01/07-30/09
CKT/HN"
"532,698","305,288","76,804","51,071","51,071","107,573,925","9,282,485","63,302,979","101,655,572","19,857,748","76,411,910","5,918,355","5,465,881","334,347",284.00,"10,828.00",,0.87,0.05,"Quý 2/2015
01/04-30/06
CKT/HN"
"532,698","305,288","76,804","51,071","51,071","107,573,925","9,282,485","63,302,979","101,655,572","19,857,748","76,411,910","5,918,355","5,465,881","334,347",284.00,"10,828.00",,0.87,0.05,
"361,361","285,095","53,237","53,037","53,037","105,556,625","13,660,806","57,997,725","99,670,504","20,678,165","71,546,389","5,886,121","5,465,881","293,357",191.00,"10,769.00",,0.90,0.05,
"685,359","298,517","54,447","51,319","51,319","94,463,183","11,008,196","54,721,714","88,629,071","13,650,941","70,213,013","5,834,111","5,465,881","238,832",94.00,"10,674.00",,1.76,0.11,
"345,435","230,195","80,284","79,284","79,284","73,441,492","9,795,034","35,210,010","67,664,262","17,709,960","45,894,641","5,777,230","5,465,881","172,689",145.00,"10,570.00",,2.74,0.22,
