Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"9,432,598","2,906,109","1,102,457","948,465","757,638","15,102,219","66,097,873","41,031,792","12,451,541","25,066,081","2,138.00","21,832.00",25.77,10.06,3.09,1.15,,"Quý 3/2017
01/07-30/09
CKT/HN"
"9,478,843","2,862,930","361,951","254,909","218,063","14,938,171","65,478,169","41,506,876","13,493,340","23,971,293","2,433.00","21,060.00",17.26,2.69,0.98,0.33,,"Quý 2/2017
01/04-30/06
CKT/HN"
"8,539,865","2,469,622","354,725","262,829","237,043","17,279,459","67,603,539","47,028,003","12,322,024","20,575,536","3,415.00",0,13.78,3.08,1.16,0.34,,"Quý 1/2017
01/01-31/03
CKT/HN"
"13,148,986","4,073,723","1,431,403","1,238,774","943,886","22,876,206","73,039,038","52,726,413","17,898,443","20,312,625","3,718.00","26,768.00",17.43,9.42,4.32,1.29,,"Quý 4/2016
01/10-31/12
CKT/HN"
"11,006,732","3,281,824","1,233,504","1,053,534","813,228","23,024,693","73,179,194","49,828,370","15,910,020","23,350,824","3,659.00","30,884.00",19.21,9.57,3.50,1.15,,"Quý 3/2016
01/07-30/09
CKT/HN"
"10,372,720","3,162,391","1,293,212","1,086,695","780,988","18,542,478","68,449,502","45,321,777","13,407,243","23,127,725","2,881.00","30,589.00",23.08,10.48,3.35,1.15,,"Quý 2/2016
01/04-30/06
CKT/HN"
"8,768,626","2,412,147","522,988","393,494","253,342","18,304,148","67,503,728","43,969,571","12,211,221","23,534,157","2,325.00","31,517.00",30.76,4.49,1.00,0.36,,"Quý 1/2016
01/01-31/03
CKT/HN"
"11,499,771","3,688,378","1,645,706","1,361,167","893,925","16,709,473","71,849,700","44,740,654","15,005,196","27,109,046","1,996.00","36,304.00",38.82,11.84,3.40,1.27,,"Quý 4/2015
01/10-31/12
CKT/HN"
"8,714,811","2,595,987","710,135","493,246","220,542","17,607,864","69,090,421","43,679,048","13,139,227","25,411,373","2,670.00","34,031.00",27.71,5.66,0.86,0.31,,"Quý 3/2015
01/07-30/09
CKT/HN"
"6,829,450","2,341,348","752,036","615,448","359,472","21,069,797","71,298,649","45,347,411","12,482,972","25,951,238","2,416.00","35,269.00",33.53,9.01,1.50,0.60,,"Quý 2/2015
01/04-30/06
CKT/HN"
"3,584,378","1,182,911","158,493","57,390","4,354","12,321,130","49,189,579","27,209,961","8,272,584","21,979,618","1,620.00","29,871.00",47.54,1.60,0.02,0.01,0,"Quý 1/2015
01/01-31/03
CKT/HN"
"5,255,762","2,340,771","1,967,057","1,848,352","1,385,475","16,428,327","52,965,100","31,039,961","11,796,756","15,016,083","1,469.00","20,408.00",56.49,35.17,9.44,2.78,"6,909,056","Quý 4/2014
01/10-31/12
CKT/HN"
"3,993,921","1,631,139","406,689","232,712","28,024","9,320,040","46,662,308","24,602,383","7,026,002","14,331,170",-174.00,"19,477.00",-471.22,5.83,0.20,0.06,"7,728,755","Quý 3/2014
01/07-30/09
CKT/HN"
"4,123,940","1,545,099","80,578","-66,918","-226,723","9,011,832","45,471,171","23,690,979","6,068,695","14,264,299",-56.00,"19,410.00","-1,626.35",-1.62,-1.56,-0.49,"7,515,893","Quý 2/2014
01/04-30/06
CKT/HN"
"2,715,013","1,082,619","92,085","22,896","-106,607","10,120,903","46,254,597","22,880,197","6,657,669","14,790,019",454.00,"20,125.00",213.74,0.84,-0.73,-0.23,"8,584,381","Quý 1/2014
01/01-31/03
CKT/HN"
