Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"2,187,763","927,053","1,004,910","792,156","792,156","212,682,272","18,023,076","126,063,177","194,946,675","31,098,536","149,926,513","17,735,597","8,878,079","4,102,435","2,307.00","19,977.00",,4.57,0.38,"Quý 2/2015
01/04-30/06
CKT/HN"
"2,017,163","981,762","582,428","475,742","475,742","199,003,292","17,001,626","112,735,810","182,046,733","20,534,007","148,816,851","16,956,559","8,878,079","3,310,303","1,967.00","19,099.00",,2.85,0.24,"Quý 1/2015
01/01-31/03
CKT/HN"
"2,061,561","1,161,149","485,222","375,766","375,766","192,009,075","14,762,009","110,461,365","175,481,015","20,745,990","142,239,546","16,528,060","8,878,079","2,897,014","1,784.00","18,617.00",,2.30,0.20,"Quý 4/2014
01/10-31/12
CKT/HN"
"1,560,188","904,587","519,896","404,155","404,155","175,216,913","13,174,513","92,796,373","159,056,315","12,064,769","136,630,527","16,160,598","8,878,079","2,740,284","1,564.00","18,203.00",,2.53,0.23,"Quý 3/2014
01/07-30/09
CKT/HN"
"1,724,467","798,700","623,609","490,692","490,692","172,744,073","19,272,182","89,876,695","156,989,037","17,916,097","129,016,057","15,755,036","8,878,079","2,337,139","1,291.00","17,746.00",,3.16,0.28,"Quý 2/2014
01/04-30/06
CKT/HN"
"1,861,665","831,569","408,204","313,596","313,596","179,100,004","17,542,923","87,612,696","163,805,684","26,811,716","126,886,451","15,294,320","8,878,079","1,858,395",980.00,"17,227.00",,2.07,0.18,"Quý 1/2014
01/01-31/03
CKT/HN"
"1,590,874","1,098,840","254,045","179,918","179,918","175,915,455","18,922,460","79,347,790","160,915,744","19,471,408","131,438,399","14,999,710","8,878,079","1,570,070","1,219.00","16,895.00",,1.21,0.10,"Quý 4/2013
01/10-31/12
CKT/HN"
"1,604,103","765,986","214,245","161,895","161,895","170,768,267","17,878,838","70,532,930","155,946,006","24,864,221","121,733,162","14,822,261","8,878,079","1,571,541","1,124.00","16,695.00",,1.10,0.09,"Quý 3/2013
01/07-30/09
CKT/HN"
"1,283,870","776,290","275,595","214,872","214,872","171,081,078","16,532,740","72,900,054","156,420,257","21,506,875","124,742,612","14,660,821","8,878,079","1,409,646","1,052.00","16,514.00",,1.48,0.13,"Quý 2/2013
01/04-30/06
CKT/HN"
"1,293,783","789,929","673,136","525,173","525,173","164,134,583","13,972,496","70,582,712","149,685,836","16,197,678","124,013,777","14,448,747","8,878,079","1,194,413","1,097.00","16,275.00",,3.70,0.33,"Quý 1/2013
01/01-31/03
CKT/HN"
"1,106,882","799,519","128,320","96,240","96,240","158,896,663","15,420,747","69,088,680","144,976,594","15,224,974","119,977,924","13,920,069","8,878,079","672,394",953.00,"15,679.00",,0.69,0.06,"Quý 4/2012
01/10-31/12
CKT/HN"
"1,018,211","872,972","97,315","97,315","97,315","165,878,786","27,103,991","68,405,752","152,030,952","24,686,177","117,236,302","13,847,834","8,848,079","718,020",-527.00,"15,651.00",,0.70,0.06,"Quý 3/2012
01/07-30/09
CKT/HN"
"920,543","770,789","255,181","255,181","255,181","171,444,198","25,680,754","68,592,952","157,660,996","33,990,447","111,640,894","13,783,202","8,848,079","627,051",45.00,"15,578.00",,1.86,0.15,"Quý 2/2012
01/04-30/06
CKT/HN"
"1,290,026","912,386","397,390","397,390","397,390","175,862,903","25,109,332","66,988,527","162,187,967","34,203,437","114,096,318","13,674,936","8,848,079","1,355,051",-243.00,"15,455.00",,2.95,0.22,
"951,241","1,263,207","-1,216,002","-1,216,002","-1,216,002","179,732,817","31,256,256","67,134,007","166,443,241","39,170,405","111,462,288","13,289,576","8,848,079","966,445",-692.00,"15,020.00",,-8.78,-0.68,
"1,413,714","614,786","603,429","603,429","603,429","178,266,915","28,783,220","60,456,058","163,862,667","39,991,867","99,560,159","14,404,248","8,848,449","2,291,303",682.00,"16,280.00",,4.26,0.34,
,,,,,"179,792,220","38,513,264","61,714,457","165,882,821","39,998,211","96,739,034","13,909,399","8,788,449","1,892,289",0,"15,828.00",,0,0,
