Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"2,070,999","1,075,937","926,242","734,690","712,312","239,817,004","24,932,083","143,303,849","214,082,766","17,938,110","186,788,644","25,734,238","17,140,015","4,832,797","1,674.00","15,776.00",8.90,2.83,0.30,"Quý 3/2015
01/07-30/09
CKT/HN"
"1,857,205","887,160","979,881","801,661","799,262","239,121,501","28,565,208","139,478,313","214,499,964","15,419,135","190,490,807","24,621,537","17,140,015","4,151,473","1,729.00","15,094.00",8.62,3.29,0.34,"Quý 2/2015
01/04-30/06
CKT/HN"
"1,768,101","922,057","882,329","706,775","705,157","228,770,502","31,443,729","122,226,493","204,772,372","196,706,675",0,"23,998,130","17,140,014","4,012,106","1,872.00","14,712.00",7.64,2.99,0.31,"Quý 1/2015
01/01-31/03
CKT/HN"
"1,841,778","1,102,522","652,330","486,978","448,450","221,041,993","28,658,950","119,372,248","197,858,942","7,509,486","181,565,384","23,183,051","16,718,524","3,633,134","1,955.00","14,489.00",7.47,1.95,0.21,"Quý 4/2014
01/10-31/12
CKT/HN"
"1,590,881","803,701","724,955","571,254","603,089","207,977,726","30,179,323","111,932,445","185,237,194","3,866,798","174,525,648","22,740,532","16,718,523","3,103,589","2,213.00","14,213.00",6.78,2.93,0.29,"Quý 3/2014
01/07-30/09
CKT/HN"
"1,884,578","821,828","1,030,649","818,150","809,180","204,409,466","19,157,519","109,039,169","186,041,664","7,695,968","171,116,285","18,367,802","11,932,359","3,500,258","2,245.00","15,843.00",6.73,4.48,0.40,"Quý 2/2014
01/04-30/06
CKT/HN"
"2,001,293","721,080","797,367","620,382","619,906","197,160,527","12,957,227","97,826,006","179,433,816","10,756,229","162,488,417","17,726,711","11,932,358","3,355,003","2,161.00","15,290.00",6.34,3.62,0.31,"Quý 1/2014
01/01-31/03
CKT/HN"
"1,650,038","869,372","749,263","585,986","533,480","200,489,173","21,415,257","98,106,265","183,340,962","4,604,175","167,608,507","16,561,085","11,932,358","2,788,992","2,183.00","14,284.00",6.00,3.20,0.27,"Quý 4/2013
01/10-31/12
CKT/HN"
"1,556,437","786,238","722,293","578,590","619,839","188,595,423","12,165,844","90,042,824","171,201,734","3,922,294","160,435,988","16,808,006","11,932,358","3,021,130","2,102.00","14,497.00",6.47,3.75,0.33,"Quý 3/2013
01/07-30/09
CKT/HN"
"1,899,457","802,215","892,697","702,163","694,438","188,570,294","19,190,712","92,738,109","171,736,338","7,387,244","157,675,213","16,258,032","11,594,671","2,828,703","2,051.00","14,444.00",6.73,4.34,0.37,"Quý 2/2013
01/04-30/06
CKT/HN"
"1,434,143","656,377","809,750","636,250","628,213","182,711,407","24,217,190","85,950,037","166,400,522","15,535,766","144,978,714","15,744,015","11,594,671","2,715,933","2,110.00","13,987.00",7.54,4.07,0.35,"Quý 1/2013
01/01-31/03
CKT/HN"
"1,615,816","682,374","554,567","474,604","394,255","180,432,771","26,789,345","85,806,563","164,731,397","21,401,981","136,099,287","15,141,245","11,594,671","2,122,300","2,146.00","13,451.00",5.92,2.62,0.22,"Quý 4/2012
01/10-31/12
CKT/HN"
"1,385,966","733,722","659,941","446,741","529,885","170,142,734","29,452,918","79,055,461","154,584,389","12,237,160","135,911,463","14,969,700","10,963,421","2,511,466","2,044.00","14,089.00",6.60,3.61,0.31,"Quý 3/2012
01/07-30/09
CKT/HN"
"1,558,748","672,011","968,649","734,906","725,507","173,932,492","35,212,458","78,159,661","158,894,495","16,099,750","135,431,049","14,361,094","10,945,233","1,947,375","2,193.00","13,516.00",6.02,5.10,0.42,"Quý 2/2012
01/04-30/06
CKT/HN"
"1,563,638","616,180","831,491","627,427","623,109","170,318,433","31,972,094","71,980,171","155,546,449","24,335,062","124,452,870","14,101,726","10,945,233","2,120,990","2,220.00","13,272.00",5.81,4.62,0.36,"Quý 1/2012
01/01-31/03
CKT/HN"
"1,652,032","885,424","341,181","246,579","246,579","175,612,371","42,823,107","73,165,823","162,081,924","30,512,107","117,747,416","12,864,507","10,320,233","1,506,298","2,452.00","12,865.00",5.10,1.86,0.15,"Quý 4/2011
01/10-31/12
CKT/HN"
"1,697,831","656,287","864,347","651,968","648,913","147,298,623","41,059,921","63,444,268","132,975,962","22,604,897","100,227,521","13,661,299","10,320,233","2,320,999","3,182.00","13,661.00",4.15,4.84,0.43,"Quý 3/2011
01/07-30/09
CKT/HN"
"1,585,017","607,676","960,120","725,184","716,989","151,328,066","36,990,163","64,322,461","137,496,726","25,365,376","100,199,802","13,158,651","10,308,881","1,695,855","3,229.00","13,159.00",4.34,5.46,0.48,"Quý 2/2011
01/04-30/06
CKT/HN"
"1,603,306","498,990","903,553","683,116","680,736","144,629,453","42,792,718","59,948,574","130,865,299","23,089,972","94,817,729","13,107,631","10,332,243","1,928,105","3,923.00","13,108.00",3.70,5.98,0.48,"Quý 4/2011
01/10-31/12
CKT/HN"
"1,564,974","834,753","861,836","692,738","745,110","138,482,195","41,145,505","57,928,997","127,061,641","26,929,210","88,992,902","10,826,265","7,543,765","2,432,483","3,689.00","14,831.00",2.93,7.09,0.59,"Quý 3/2011
01/07-30/09
CKT/HN"
"1,304,923","1,118,604","687,525","516,287","536,971","115,014,457","27,553,003","54,710,532","104,123,425","14,477,771","76,509,426","10,193,770","7,553,765","1,611,369","2,668.00","13,964.00",0,5.39,0.46,"Quý 2/2011
01/04-30/06
CKT/HN"
"2,508,227","924,988","1,135,070","768,458","900,847","119,158,264","33,633,181","52,618,187","108,737,911","19,280,668","72,434,531","9,739,397","7,553,765","1,137,409","1,933.00","13,342.00",0,9.39,0.76,"Quý 1/2011
01/01-31/03
CKT/HN"
"1,564,974","834,753","861,836","692,738","745,110","138,482,195","41,145,505","57,928,997","127,061,641","26,929,210","88,992,902","10,826,265","7,543,765","2,432,483","3,689.00","14,831.00",2.93,7.09,0.59,
"1,304,923","1,118,604","687,525","516,287","536,971","115,014,457","27,553,003","54,710,532","104,123,425","14,477,771","76,509,426","10,193,770","7,553,765","1,611,369","2,668.00","13,964.00",0,5.39,0.46,
"2,508,227","924,988","1,135,070","768,458","900,847","119,158,264","33,633,181","52,618,187","108,737,911","19,280,668","72,434,531","9,739,397","7,553,765","1,137,409","1,933.00","13,342.00",0,9.39,0.76,
"1,164,872","444,199","661,010","482,598","510,156","118,319,687","36,579,701","52,031,625","108,075,242","16,620,593","71,703,252","9,450,015","7,553,765","1,275,369",699.00,"12,945.00",0,5.57,0.45,
