Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"1,052,535","637,393","518,110","414,488","414,488","136,025,736","9,279,533","83,279,542","126,868,392","41,883,379","74,256,655","9,157,345","6,039,799","926,952","2,546.00","17,259.00",15.91,4.62,0.32,"Quý 1/2018
01/01-31/03
CKT/HN"
"1,096,854","600,527","782,417","625,939","625,939","123,280,790","10,274,967","78,957,651","114,488,321","33,695,535","68,398,634","8,792,471","6,039,799","725,088","1,997.00","17,702.00",11.52,7.06,0.52,"Quý 4/2017
01/10-31/12
CKT/HN"
"891,830","604,086","242,903","194,442","194,442","116,574,339","11,453,984","71,496,840","107,644,360","28,520,137","66,491,126","8,929,979","6,802,939","799,456","1,299.00","15,821.00",16.63,2.20,0.17,"Quý 3/2017
01/07-30/09
CKT/HN"
"774,177","581,507","222,998","178,549","178,549","115,384,137","10,280,900","68,338,708","106,638,441","33,300,626","62,183,041","8,745,700","6,802,939","605,013","1,104.00","15,494.00",20.37,2.03,0.16,"Quý 2/2017
01/04-30/06
CKT/HN"
"692,738","539,110","157,136","125,709","125,709","105,981,521","10,481,580","62,638,983","97,113,263","29,670,431","60,810,204","8,868,259","6,802,939","808,597","1,021.00","15,712.00",17.63,1.43,0.12,"Quý 1/2017
01/01-31/03
CKT/HN"
"784,241","586,938","293,567","234,646","234,646","104,548,140","9,152,036","59,308,160","95,805,590","33,261,991","59,260,842","8,742,551","6,802,939","682,889",995.00,"15,489.00",0,2.72,0.24,"Quý 4/2016
01/10-31/12
CKT/HN"
"649,018","515,787","105,402","84,445","84,445","88,609,820","5,472,807","52,753,126","80,084,725","18,945,662","59,779,035","8,525,095","6,802,946","465,426","1,084.00","17,596.00",0,1.00,0.10,"Quý 3/2016
01/07-30/09
CKT/HN"
"596,952","507,960","161,493","131,515","131,515","86,755,007","6,055,252","50,616,347","78,314,358","19,300,749","57,248,363","8,440,651","6,802,946","380,982","1,047.00","17,421.00",0,1.53,0.15,"Quý 2/2016
01/04-30/06
CKT/HN"
"595,110","485,896","141,476","110,904","110,904","85,252,232","7,191,671","48,146,133","76,497,080","20,724,035","53,890,982","8,755,154","6,802,946","766,687","1,027.00","18,070.00",,1.28,0.13,"Quý 1/2016
01/01-31/03
CKT/HN"
"602,959","503,741","285,509","198,391","198,391","84,411,998","761,777","47,143,688","75,767,755","12,699,666","53,303,964","8,644,244","6,802,946","655,777","1,044.00","17,842.00",,2.32,0.25,"Quý 4/2015
01/10-31/12
CKT/HN"
"570,159","450,961","86,407","66,501","66,501","72,553,934","2,059,437","43,769,155","64,122,751","12,715,316","50,280,162","8,431,183","6,802,951","432,350","1,527.00","19,838.00",,0.79,0.09,"Quý 3/2015
01/07-30/09
CKT/HN"
"627,803","424,836","144,126","121,770","121,770","77,440,552","573,931","40,384,543","69,075,870","17,408,128","49,656,867","8,364,682","6,802,951","365,849","1,513.00","19,682.00",,1.43,0.16,"Quý 2/2015
01/04-30/06
CKT/HN"
"543,193","401,957","139,406","119,210","119,210","78,028,476","644,801","38,628,991","69,370,809","18,654,768","48,047,793","8,657,667","6,802,951","661,791","1,427.00","20,371.00",,1.39,0.15,"Quý 1/2015
01/01-31/03
CKT/HN"
"695,347","441,166","414,413","341,513","341,513","80,712,682","7,492,224","37,289,570","72,205,732","19,761,129","49,051,908","8,506,950","6,802,951","578,338","1,251.00","20,016.00",,4.10,0.44,"Quý 4/2014
01/10-31/12
CKT/HN"
"567,418","410,841","83,441","60,547","60,547","76,242,480","7,297,115","36,264,696","68,084,087","19,406,005","43,969,185","8,158,393","6,802,951","206,687",509.00,"19,196.00",,0.75,0.08,"Quý 3/2014
01/07-30/09
CKT/HN"
"528,983","366,279","98,958","85,065","85,065","71,267,956","5,089,978","35,269,376","63,193,022","16,037,747","41,554,763","8,074,934","6,802,951","146,208",0,"19,000.00",,1.05,0.12,"Quý 2/2014
01/04-30/06
CKT/HN"
"511,268","379,235","57,016","44,476","44,476","74,112,800","5,835,007","37,299,986","66,022,755","23,253,188","40,571,807","8,090,046","6,802,951","179,714",-165.00,"19,035.00",,0.55,0.06,"Quý 1/2014
01/01-31/03
CKT/HN"
"547,828","471,147","56,757","26,257","26,257","76,896,085","7,966,816","34,335,299","68,933,932","19,036,314","43,261,571","7,962,152","6,802,951","44,389",122.00,"18,734.00",,0.32,0.04,"Quý 4/2013
01/10-31/12
CKT/HN"
"439,799","374,281","-202,857","-155,681","-155,681","65,919,597","7,785,249","33,366,016","57,483,342","11,564,826","40,039,997","8,436,255","6,802,951","518,449",461.00,"19,850.00",,-1.83,-0.23,"Quý 3/2013
01/07-30/09
CKT/HN"
"524,754","392,181","21,847","15,421","14,959","68,395,373","9,504,096","33,116,561","59,736,340","17,943,149","36,617,052","8,600,127","6,802,951","682,320",828.00,"20,236.00",,0.18,0.02,"Quý 2/2013
01/04-30/06
CKT/HN"
"597,643","397,669","207,015","166,265","166,265","66,286,410","7,691,735","32,569,989","57,731,726","11,759,475","41,461,269","8,496,241","6,802,951","653,957","1,144.00","19,991.00",,1.97,0.25,"Quý 1/2013
01/01-31/03
CKT/HN"
"614,376","391,119","205,598","170,494","170,494","65,036,087","7,350,702","33,425,492","56,548,123","11,244,628","38,970,090","8,427,484","6,802,951","585,329",753.00,"19,829.00",,2.05,0.26,"Quý 4/2012
01/10-31/12
CKT/HN"
,,,,,"63,783,506","5,250,627","31,475,767","55,491,458","8,010,516","41,545,682","8,230,586","6,802,951","391,153",351.00,"19,366.00",,0,0,"Quý 3/2012
01/07-30/09
CKT/HN"
"740,151","514,789","183,094","149,371","149,371","73,989,012","9,151,257","35,261,252","65,687,361","7,963,875","46,311,020","7,839,434","6,802,951",,351.00,"18,446.00",,3.81,0.40,"Quý 2/2012
01/04-30/06
CKT/HN"
