Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"17,080,564","5,411,700","4,778,115","3,770,019","3,668,688","38,218,562","61,786,994","18,626,768","10,931,313","43,160,226","4,994.00","22,557.00",19.50,22.07,8.68,6.00,,"Quý 4/2017
01/10-31/12
CKT/HN"
"15,084,734","3,058,450","2,423,288","1,963,287","1,901,526","37,162,880","60,579,566","19,208,546","11,641,623","41,371,020","4,680.00",0,14.77,13.02,4.60,3.15,,"Quý 3/2017
01/07-30/09
CKT/HN"
"16,316,096","3,125,793","2,372,669","1,871,793","1,809,251","37,015,738","60,337,116","18,999,895","11,372,263","41,337,221","4,190.00","21,605.00",13.92,11.47,4.32,2.98,,"Quý 2/2017
01/04-30/06
CKT/HN"
"16,257,396","3,397,819","2,737,623","2,215,768","2,176,075","37,506,549","61,013,023","18,529,035","10,668,078","42,483,988","4,128.00","22,204.00",13.32,13.63,5.22,3.70,,"Quý 1/2017
01/01-31/03
CKT/HN"
"15,662,687","4,803,983","3,972,825","3,075,644","3,066,694","33,352,699","56,897,271","16,039,764","9,301,327","40,857,507","3,682.00","21,354.00",16.46,19.64,7.38,5.33,,"Quý 4/2016
01/10-31/12
CKT/HN"
"13,787,161","1,806,266","1,268,727","986,463","963,994","34,445,727","58,106,824","15,902,923","9,242,785","42,203,901","2,631.00","22,051.00",26.80,7.15,2.31,1.64,,"Quý 3/2016
01/07-30/09
CKT/HN"
"15,709,207","2,531,929","1,957,179","1,657,816","1,690,833","36,175,875","59,552,046","18,269,678","11,460,213","41,282,368","3,349.00","21,569.00",18.66,10.55,3.98,2.84,,"Quý 2/2016
01/04-30/06
CKT/HN"
"13,984,088","2,407,385","1,941,432","1,478,887","1,314,607","35,618,292","59,708,788","16,096,501","9,753,737","43,612,286","3,830.00","22,787.00",10.71,10.58,3.04,2.26,,"Quý 1/2016
01/01-31/03
CKT/HN"
"17,264,396","1,969,849","1,399,529","1,100,784","1,044,481","33,833,057","56,724,385","13,830,394","8,982,041","42,893,991","4,502.00","22,635.00",8.04,6.38,2.41,1.87,,"Quý 4/2015
01/10-31/12
CKT/HN"
"15,724,333","3,522,986","2,989,323","2,389,943","2,317,373","32,576,939","54,878,246","10,994,954","5,597,451","43,883,292","6,476.00","23,157.00",7.07,15.20,5.43,4.30,,"Quý 3/2015
01/07-30/09
CKT/HN"
"15,777,742","3,854,212","3,371,251","2,677,076","2,586,996","31,780,593","52,992,179","11,460,704","6,872,786","41,531,475","6,810.00","21,916.00",9.10,16.97,6.32,4.88,,"Quý 2/2015
01/04-30/06
CKT/HN"
"15,532,004","4,049,068","3,344,697","2,660,023","2,583,281","32,882,300","52,968,690","12,595,417","6,847,992","40,373,273","7,149.00","21,305.00",9.23,17.13,6.77,4.84,0,"Quý 1/2015
01/01-31/03
CKT/HN"
"19,013,743","6,629,045","6,074,394","4,797,775","4,783,565","33,259,312","53,762,672","16,079,060","10,560,575","35,985,640","7,452.00","18,990.00",9.46,25.23,13.41,8.94,"1,697,973","Quý 4/2014
01/10-31/12
CKT/HN"
"19,605,541","4,244,929","3,818,620","3,044,339","2,950,520","32,563,895","53,208,320","16,098,037","10,571,263","35,367,517","6,086.00","18,664.00",17.42,15.53,8.35,5.75,"1,742,766","Quý 3/2014
01/07-30/09
CKT/HN"
"18,703,390","4,708,191","4,106,006","3,328,508","3,230,382","29,033,428","49,376,259","12,428,786","7,814,424","35,329,729","6,106.00","18,644.00",18.34,17.80,9.12,6.41,"1,617,744","Quý 2/2014
01/04-30/06
CKT/HN"
"16,063,991","4,556,330","3,990,138","3,195,320","3,156,456","30,397,021","51,487,899","14,384,828","8,721,068","35,494,121","5,936.00","18,729.00",14.07,19.89,9.17,6.20,"1,608,950","Quý 1/2014
01/01-31/03
CKT/HN"
"16,575,795","3,824,092","2,861,706","2,244,602","2,194,685","28,261,081","50,503,546","15,369,123","9,803,611","33,461,925","6,535.00","17,658.00",10.18,13.54,6.57,4.44,"1,672,498","Quý 4/2013
01/10-31/12
CKT/HN"
"17,066,936","4,327,103","3,752,123","3,072,679","2,989,030","25,938,889","48,356,717","13,292,155","7,211,852","33,323,031","6,696.00","17,585.00",10.01,18.00,9.11,6.13,"1,741,532","Quý 3/2013
01/07-30/09
CKT/HN"
"15,750,244","4,352,427","3,681,729","3,004,152","2,908,607","25,874,986","49,122,286","15,133,789","9,246,511","32,310,864","6,429.00","17,051.00",9.02,19.07,9.12,5.98,"1,677,634","Quý 2/2013
01/04-30/06
CKT/HN"
"16,052,052","4,852,555","4,256,810","4,374,888","4,292,336","23,936,352","48,101,969","14,937,904","8,251,011","31,455,983","4,894.00","16,599.00",10.93,27.25,14.64,9.21,"1,708,081","Quý 1/2013
01/01-31/03
KT/HN"
"15,142,009","3,976,748","3,077,186","2,591,534","2,499,227","20,447,784","45,108,421","16,353,385","7,896,823","27,115,535","3,847.00","14,308.00",10.03,17.11,9.34,5.27,"1,639,501","Quý 4/2012
01/10-31/12
CKT/HN"
"16,362,384","3,774,768","3,170,014","2,578,840","2,483,254","25,071,807","49,737,343","21,765,191","12,359,596","26,381,760","2,528.00","13,920.00",15.86,15.76,9.53,4.95,"1,590,392","Quý 3/2012
01/07-30/09
CKT/HN"
,,,,,"25,301,160","50,694,528","23,294,864","13,911,067","25,745,864","2,363.00","13,585.00",16.25,0,0,0,"1,653,800","Quý 2/2012
01/04-30/06
CKT/HN"
"16,362,384","3,774,768","3,170,014","2,578,840","2,483,254","25,071,807","49,737,343","21,765,191","12,359,596","26,381,760","2,528.00","13,920.00",15.86,15.76,9.53,4.95,"1,590,392","Quý 3/2012
01/07-30/09
CKT/HN"
,,,,,"25,301,160","50,694,528","23,294,864","13,911,067","25,745,864","2,363.00","13,585.00",16.25,0,0,0,"1,653,800","Quý 2/2012
01/04-30/06
CKT/HN"
"18,447,361","3,562,941","2,941,394","2,393,749","2,306,820","26,601,437","52,252,871","24,728,434","14,382,938","25,757,939","2,363.00","13,591.00",0,12.98,9.37,4.71,"1,766,498","Quý 1/2012
01/01-31/03
CKT/HN"
"48,974,967","8,015,022","5,938,160","5,049,887","4,531,098","28,734,335","54,877,735","28,185,322","12,268,850","26,692,413","1,146.00","14,077.00",0,13.69,33.95,16.51,,"Quý 3/2011
01/07-30/09
CKT/HN"
