Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"20,907,583","3,702,551","854,343","647,635","647,365","20,874,018","25,546,432","17,383,664","16,087,063","8,162,768","8,660.00","25,282.00",14.69,3.10,8.26,2.60,,"Quý 3/2017
01/07-30/09
CKT/HN"
"21,806,934","3,861,642","965,031","732,106","731,968","19,674,746","24,342,689","16,827,321","15,487,730","7,515,367","8,506.00","23,275.00",13.40,3.36,9.90,3.05,,"Quý 2/2017
01/04-30/06
CKT/HN"
"22,763,520","3,974,763","1,038,785","807,464","807,364","18,987,675","23,658,886","16,390,890","15,028,843","7,267,997","8,853.00","22,506.00",12.74,3.55,12.25,3.47,,"Quý 1/2017
01/01-31/03
SX/HN"
"18,718,700","3,044,213","728,027","572,257","571,938","18,864,165","22,813,427","16,904,511","15,712,216","5,908,916","9,260.00","18,655.00",14.15,3.06,10.26,2.90,,"Quý 4/2016
01/10-31/12
CKT/HN"
"16,380,822","2,823,732","716,294","565,070","564,761","13,167,690","16,632,493","11,388,021","11,328,721","5,244,472","10,120.00","17,048.00",11.49,3.45,11.38,3.61,,"Quý 3/2016
01/07-30/09
CKT/HN"
"15,654,245","2,621,872","647,617","511,445","511,167","11,577,310","14,651,011","9,971,617","9,971,617","4,679,394","11,665.00","15,211.00",8.82,3.27,11.26,3.55,,"Quý 2/2016
01/04-30/06
CKT/HN"
"15,586,037","2,651,963","703,506","558,124","557,814","11,359,327","14,107,381","9,708,896","9,708,896","4,398,485","11,554.00","28,581.00",14.57,3.58,13.54,3.85,,"Quý 1/2016
01/01-31/03
SX/HN"
"13,837,427","2,195,937","452,375","355,814","355,615","12,288,285","14,806,487","10,965,133","10,965,133","3,841,354","10,734.00","24,960.00",14.53,2.57,9.71,2.85,,"Quý 4/2015
01/10-31/12
CKT/HN"
"11,126,308","1,834,279","518,178","387,523","387,307","8,258,017","10,176,331","6,690,690","6,690,690","3,485,641","10,722.00","23,730.00",12.98,3.48,11.77,4.26,,"Quý 3/2015
01/07-30/09
SX/HN"
"10,022,583","1,594,696","517,472","416,886","416,648","6,584,884","7,994,614","4,896,390","4,896,390","3,098,224","10,153.00","21,092.00",12.11,4.16,13.89,5.22,,"Quý 2/2015
01/04-30/06
CKT/HN"
"9,627,014","1,589,194","518,846","418,025","417,791","6,779,189","7,964,903","5,063,479","5,063,479","2,901,424","9,247.00","19,752.00",8.17,4.34,15.52,5.49,,"Quý 1/2015
01/01-31/03
SX/HN"
"7,746,260","1,284,540","422,257","332,037","331,852","6,176,432","7,265,762","4,782,210","4,782,210","2,483,553","8,368.00","16,908.00",9.38,4.29,14.32,5.49,,"Quý 4/2014
01/10-31/12
CKT/HN"
"6,646,721","1,023,873","360,944","288,008","287,299","3,930,699","4,813,877","2,662,215","2,662,215","2,151,663","8,029.00","15,380.00",7.60,4.33,14.06,6.50,,"Quý 3/2014
01/07-30/09
SX/HN"
"5,363,271","812,902","281,425","222,636","221,182","3,258,606","4,022,212","2,086,217","2,086,217","1,935,995","8,440.00","13,838.00",8.71,4.15,12.15,5.75,,"Quý 2/2014
01/04-30/06
CKT/HN"
"5,496,481","801,116","297,714","233,091","231,560","3,031,358","3,665,754","1,949,914","1,949,914","1,705,257","8,245.00","15,231.00",12.98,4.24,14.56,6.55,"10,583","Quý 3/2014
01/07-30/09
SX/HN"
"4,836,716","690,703","236,572","185,660","184,478","2,837,687","3,407,199","1,923,190","1,923,190","1,474,956","8,530.00","13,174.00",12.78,3.84,13.32,5.90,"9,053","Quý 2/2014
01/04-30/06
CKT/HN"
"3,945,123","633,943","222,060","176,370","175,231","2,415,164","2,848,188","1,547,642","1,547,642","1,295,478","7,711.00","20,654.00",21.92,4.47,14.51,6.90,"5,068","Quý 1/2014
01/01-31/03
CKT/HN"
"3,487,062","526,872","182,684","143,052","142,184","1,855,811","2,234,464","1,109,368","1,109,368","1,120,247","6,208.00","17,860.00",0,4.10,13.57,6.58,"4,849","Quý 3/2013
01/07-30/09
CKT/HN"
"3,945,123","633,943","222,060","176,370","175,231","2,415,164","2,848,188","1,547,642","1,547,642","1,295,478","7,711.00","20,654.00",21.92,4.47,14.51,6.90,"5,068",
"3,487,062","526,872","182,684","143,052","142,184","1,855,811","2,234,464","1,109,368","1,109,368","1,120,247","6,208.00","17,860.00",0,4.10,13.57,6.58,"4,849",
"3,487,825","544,601","215,002","168,662","166,213","1,770,999","2,087,379","1,085,190","1,085,190","975,168","21,232.00","83,764.00",0,4.84,18.72,7.70,"27,021",
"2,428,318","369,566","111,152","81,976","80,969",,,,,,0,0,0,3.38,0,0,,
