Thu nhập lãi thuần,Chi phí hoạt động,Tổng TNTT,Tổng LNST,LNST của CĐ Ngân hàng mẹ,Tổng tài sản,"- Tiền, vàng gửi và cho vay các TCTD",- Cho vay khách hàng,Nợ phải trả,- Tiền gửi và vay các TCTD,- Tiền gửi của khách hàng,Vốn và các quỹ,- Vốn của TCTD,- Lợi nhuận chưa phân phối,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROEA,ROAA,Time
"568,419","291,509","300,744","224,621","224,621","74,369,788","25,722,843","31,136,927","68,245,524","20,110,579","41,879,378","6,124,264","4,908,536","943,463","1,858.00","12,717.00",5.49,3.76,0.31,"Quý 1/2013
01/01-31/03
CKT/HN"
"517,572","339,035","294,215","221,168","221,168","70,992,870","18,845,175","28,853,484","65,158,478","15,909,083","34,785,614","5,834,392","4,908,536","754,376","1,819.00","12,115.00",3.24,3.84,0.31,"Quý 4/2012
01/10-31/12
CKT/HN"
"579,642","303,724","296,424","222,512","222,512","69,751,570","19,470,096","27,958,617","64,072,367","21,476,349","32,610,899","5,679,203","4,908,536","604,461","1,918.00","11,793.00",3.86,4.00,0.34,"Quý 3/2012
01/07-30/09
CKT/HN"
"405,957","254,787","208,489","157,893","157,893","61,038,839","17,526,332","26,596,864","55,598,682","17,664,492","33,145,155","5,440,157","4,908,536","362,325","2,022.00","11,296.00",4.06,3.21,0.27,"Quý 2/2012
01/04-30/06
CKT/HN"
"393,540","227,208","202,367","151,857","151,857","55,815,813","14,212,906","24,804,475","51,417,067","17,304,488","27,779,502","4,398,746","3,590,259","622,993","2,177.00","12,577.00",4.41,3.54,0.28,"Quý 1/2012
01/01-31/03
CKT/HN"
"414,847","243,652","178,734","134,185","134,185","51,135,878","11,636,741","24,301,533","46,937,988","13,271,539","25,633,644","4,197,891","3,590,259","423,653","2,387.00","12,002.00",5.11,3.95,0.29,"Quý 4/2011
01/10-31/12
CKT/HN"
"242,789","169,829","159,227","119,385","119,385","40,192,973","7,773,810","20,436,607","37,601,251","7,462,544","23,197,704","2,591,723","2,042,740","445,494","1,807.00","12,991.00",6.47,4.51,0.32,"Quý 3/2011
01/07-30/09
CKT/HN"
"351,026","140,646","159,058","120,925","120,925","34,179,243","3,474,393","18,191,839","31,472,390","4,890,104","19,613,116","2,706,853","2,042,740","580,588","1,209.00","13,534.00",12.99,4.61,0.41,"Quý 2/2011
01/04-30/06
CKT/HN"
"212,316","127,257","161,086","120,856","120,856","24,970,621","3,016,963","13,334,778","22,432,520","5,272,746","15,478,313","2,538,101","2,043,043","426,464",604.00,"12,691.00",32.44,4.88,0.46,"Quý 1/2011
01/01-31/03
CKT/HN"
,,,,,"27,439,496","6,323,674","12,701,664","25,022,341","10,127,668","14,486,931","2,417,155","2,043,043","321,108",404.00,"12,086.00",54.16,0,0,"Quý 4/2010
01/10-31/12
CKT/HN"
