DT từ KD chứng khoán,Lợi nhuận gộp,LNT từ KD chứng khoán,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Các khoản cho vay,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,Lợi ích của cổ đông thiểu số,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"230,821","28,442","25,462","69,339","69,387","4,909,099",,"8,228,936","3,159,771","3,142,058","4,986,606","82,560","1,245.00","14,142.00",16.71,30.04,8.55,6.00,"Quý 2/2013
01/04-30/06
CKT/HN"
"164,424","163,063","161,094","185,207","185,106","3,905,440",,"7,350,409","2,008,514","1,977,796","5,265,287","76,607","1,051.00","14,932.00",17.51,112.64,7.25,5.37,"Quý 1/2013
01/01-31/03
CKT/HN"
"161,884","117,511","102,686","95,641","96,531","3,223,901",,"6,507,513","1,350,342","1,180,434","5,080,665","76,506",227.00,"14,409.00",60.35,59.08,1.57,1.19,"Quý 4/2012
01/10-31/12
CKT/HN"
"208,946","92,273","90,278","83,908","83,153","4,351,424",,"6,854,771","1,808,574","1,701,397","4,968,801","77,396",290.00,"14,152.00",67.17,40.16,1.97,1.41,"Quý 3/2012
01/07-30/09
CKT/HN"
"245,090","20,296","17,569","5,079","1,398","4,129,629",,"6,556,650","1,594,361","1,485,584","4,885,647","76,641",466.00,"13,915.00",38.00,2.07,3.11,2.10,"Quý 2/2012
01/04-30/06
CKT/HN"
"232,122","-44,745","-47,202","-101,876","-101,954","4,119,825",,"6,608,492","1,254,399","1,112,353","5,281,133","72,960",925.00,"15,041.00",24.34,-43.89,5.91,3.78,"Quý 1/2012
01/01-31/03
CKT/HN"
"322,041","118,309","115,176","118,349","118,824","6,366,260",,"8,792,895","3,262,007","3,119,700","5,458,006","72,882","2,317.00","15,545.00",13.81,36.75,12.81,7.66,"Quý 4/2011
01/10-31/12
CKT/HN"
"349,954","224,103","221,850","146,165","144,808","6,933,614",,"9,041,334","3,616,572","3,457,921","5,351,406","73,357","3,422.00","15,241.00",7.86,41.77,16.07,9.78,"Quý 3/2011
01/07-30/09
CKT/HN"
"381,303","207,791","205,837","152,952","152,952","6,623,195",,"8,883,714","3,674,512","3,461,779","5,209,202",0,"5,142.00","14,836.00",6.69,40.11,19.69,12.31,"Quý 2/2011
01/04-30/06
CKT/HN"
"450,069","360,837","357,033","270,697","270,697","6,949,763",,"9,193,475","3,758,777","3,741,645","5,434,698",,"6,830.00","15,479.00",6.32,60.15,21.83,13.96,"Quý 1/2011
01/01-31/03
CKT/HN"
