Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"6,036,059","2,295,670","1,057,301","890,264","724,918","17,461,655","28,080,869","13,916,060","13,360,082","14,164,809","5,818.00","23,082.00",7.96,14.75,5.17,2.67,,"Quý 3/2017
01/07-30/09
CKT/HN"
"5,474,263","2,000,673","879,552","759,029","594,282","16,757,931","26,286,146","12,400,576","11,901,668","13,885,569","5,788.00","22,627.00",7.17,13.87,4.28,2.32,,"Quý 2/2017
01/04-30/06
CKT/HN"
"4,750,769","1,855,560","771,386","652,768","509,014","15,891,378","25,010,920","11,111,084","10,523,958","13,899,836","5,890.00","26,178.00",10.31,13.74,3.75,2.04,,"Quý 1/2017
01/01-31/03
CKT/HN"
"12,495,737","2,850,422","1,922,130","1,567,244","1,419,645","16,053,004","25,025,223","11,790,285","11,129,329","13,234,938","5,895.00","24,925.00",9.69,12.54,10.81,5.19,,"Quý 4/2016
01/10-31/12
CKT/HN"
"10,831,198","2,415,837","882,252","744,031","582,641","21,767,021","29,693,707","16,659,921","15,768,900","13,033,786","4,537.00","24,546.00",10.75,6.87,4.63,2.02,,"Quý 3/2016
01/07-30/09
CKT/HN"
"9,946,703","2,431,580","779,117","670,457","511,686","20,220,920","28,045,804","15,895,578","14,738,302","12,150,226","4,475.00","26,314.00",10.47,6.74,4.24,1.83,,"Quý 2/2016
01/04-30/06
CKT/HN"
"9,418,120","2,075,513","629,911","540,340","412,900","20,264,901","28,003,927","16,023,450","14,835,526","11,980,477","3,734.00","26,076.00",12.67,5.74,3.52,1.43,,"Quý 1/2016
01/01-31/03
CKT/HN"
"12,399,573","2,787,128","986,046","831,527","661,138","22,082,043","29,912,454","18,464,444","17,471,940","11,448,011","3,704.00","24,917.00",11.88,6.71,5.90,2.35,,"Quý 4/2015
01/10-31/12
CKT/HN"
"9,755,288","2,216,581","749,014","667,466","467,811","18,913,792","26,397,928","15,434,639","14,346,985","10,963,289","3,852.00","23,857.00",12.11,6.84,4.28,1.81,,"Quý 3/2015
01/07-30/09
CKT/HN"
"8,958,526","1,933,550","673,288","629,353","114,187","17,801,377","25,344,505","14,434,112","13,305,700","10,910,393","3,815.00","23,742.00",10.96,7.03,1.06,0.46,,"Quý 2/2015
01/04-30/06
CKT/HN"
"8,466,518","1,686,151","554,781","446,509","345,690","17,461,659","24,695,453","14,052,383","12,948,093","10,643,071","4,840.00","26,766.00",9.73,5.27,3.32,1.36,,"Quý 1/2015
01/01-31/03
CKT/HN"
"10,449,043","2,158,681","843,492","794,563","676,200","19,209,380","25,983,205","15,804,968","14,804,951","10,178,237","5,213.00","25,597.00",9.26,7.47,6.71,2.72,,"Quý 4/2014
01/10-31/12
CKT/HN"
"9,527,464","1,914,597","621,827","519,226","389,064","16,827,486","23,677,162","13,704,991","13,006,055","9,972,171","4,827.00","25,078.00",9.22,5.45,3.91,1.68,,"Quý 3/2014
01/07-30/09
CKT/HN"
"11,744,376","1,801,913","711,604","590,509","456,633","16,240,765","22,581,606","12,657,394","12,339,406","9,924,212","5,001.00","24,958.00",9.28,5.03,4.99,2.04,,"Quý 2/2014
01/04-30/06
CKT/HN"
"14,713,020","1,689,718","628,941","547,349","424,661","16,319,851","22,206,060","12,362,568","11,843,484","8,380,860","5,145.00","24,357.00",9.41,3.72,5.21,1.89,"1,462,632","Quý 1/2014
01/01-31/03
CKT/HN"
"15,333,191","1,768,216","612,410","533,636","450,529","16,961,911","22,659,686","13,405,222","13,062,886","7,909,990","5,241.00","22,988.00",9.16,3.48,5.80,2.11,"1,344,474","Quý 4/2013
01/10-31/12
CKT/HN"
"13,477,215","1,606,661","590,933","503,722","389,098","14,847,358","19,945,743","10,987,860","10,670,684","7,628,831","5,647.00","22,170.00",9.21,3.74,5.11,2.06,"1,329,051","Quý 3/2013
01/07-30/09
CKT/HN"
"10,685,411","1,554,004","628,384","557,458","427,586","12,729,372","17,766,402","8,885,205","8,600,724","7,587,818","5,800.00","22,051.00",8.03,5.22,5.64,2.43,"1,293,380","Quý 2/2013
01/04-30/06
CKT/HN"
"10,867,322","1,345,059","566,863","494,038","374,602","12,668,500","17,446,248","8,710,120","8,412,879","7,574,003","5,910.00","27,512.00",11.84,4.55,5.07,2.14,"1,162,126","Quý 1/2013
01/01-31/03
CKT/HN"
"11,283,427","1,638,114","676,635","541,224","474,010","12,954,621","17,617,926","9,363,078","9,075,739","7,209,656","5,858.00","26,188.00",8.04,4.80,6.72,2.84,"1,045,192","Quý 4/2012
01/10-31/12
CKT/HN"
"12,000,599","1,346,075","546,819","465,109","330,590","11,269,784","15,709,061","7,660,120","7,378,687","6,904,109","5,774.00","25,077.00",7.81,3.88,4.76,2.12,"1,144,833","Quý 3/2012
01/07-30/09
CKT/HN"
"9,336,562","1,365,206","675,880","584,299","444,786","11,274,078","15,523,397","7,428,091","7,169,969","6,989,818","5,853.00","25,389.00",7.14,6.26,6.58,3.01,"1,105,489","Quý 2/2012
01/04-30/06
CKT/HN"
"8,611,039","1,193,176","551,903","474,681","358,323","9,906,638","14,059,015","6,523,998","6,285,133","6,528,838","6,054.00","23,831.00",6.24,5.51,5.64,2.54,"1,006,179","Quý 1/2012
01/01-31/03
CKT/HN"
"10,020,775","1,511,131","626,200","544,581","448,954","10,282,181","14,270,464","7,194,525","6,899,105","6,181,640","6,318.00","22,563.00",5.57,5.43,7.28,3.10,"894,299","Quý 4/2011
01/10-31/12
CKT/HN"
"9,869,741","1,135,529","524,003","451,930","338,402","11,037,975","14,692,014","7,520,895","7,219,370","6,152,706","6,795.00","22,457.00",5.58,4.58,5.53,2.33,"1,018,413","Quý 3/2011
01/07-30/09
CKT/HN"
"9,666,613","1,243,845","593,236","529,497","412,341","10,787,561","14,404,612","7,339,191","7,065,492","6,089,283","8,224.00","22,226.00",5.73,5.48,6.90,2.88,"976,138","Quý 2/2011
01/04-30/06
CKT/HN"
"8,937,352","1,117,342","559,792","460,417","340,630","10,656,599","14,272,591","7,515,345","7,257,525","5,858,498","8,464.00","27,100.00",6.85,5.15,5.99,2.33,"898,748","Quý 1/2011
01/01-31/03
CKT/HN"
"13,832,026","1,653,487","661,051","579,689","462,746","11,410,324","15,024,909","8,528,729","8,296,037","5,529,647","8,472.00","25,578.00",5.87,4.19,8.43,3.17,"966,533","Quý 4/2010
01/10-31/12
CKT/HN"
"10,140,718","1,244,222","624,351","539,533","513,326","10,607,052","14,130,608","7,800,299","5,828,271","5,450,140","7,913.00","25,210.00",6.51,5.32,10.22,3.86,"880,169","Quý 3/2010
01/07-30/09
CKT/HN"
"9,329,772","1,290,943","648,888","553,046","415,457","9,018,714","12,446,982","6,618,198","4,691,588","4,590,719","6,733.00","23,713.00",7.13,5.93,9.37,3.30,"1,238,066","Quý 2/2010
01/04-30/06
CKT/HN"
"10,199,095","1,160,830","474,631","416,327","296,626","9,283,952","12,710,742","7,257,314","5,164,567","4,274,842","7,039.00","22,080.00",7.25,4.08,7.18,2.37,"1,178,587","Quý 1/2010
01/01-31/03
CKT/HN"
"10,198,524","1,296,960","424,497","428,709","303,828","8,829,078","12,502,219","7,425,477","5,538,445","3,982,083","7,473.00","20,567.00",8.63,4.20,7.81,2.45,"1,094,659","Quý 4/2009
01/10-31/12
CKT/HN"
"12,602,884","1,127,905","422,730","372,831","281,037","9,004,707","12,268,263","7,414,799","5,525,345","3,798,459","7,995.00","19,618.00",8.88,2.96,7.50,2.37,"1,055,005","Quý 3/2009
01/07-30/09
CKT/HN"
"10,723,958","1,192,998","588,259","505,273","388,100","8,459,817","11,481,762","6,905,965","4,852,129","3,697,738","8,982.00","19,097.00",7.68,4.71,11.10,3.54,"878,059","Quý 2/2009
01/04-30/06
CKT/HN"
"8,017,530","1,009,266","420,106","384,409","290,085","7,660,727","10,423,086","6,324,833","4,409,645","3,293,524","7,930.00","22,879.00",10.53,4.79,9.22,2.79,"804,729","Quý 1/2009
01/01-31/03
CKT/HN"
"14,983,873","1,371,888","356,012","366,566","288,213","8,103,156","10,644,732","6,906,696","4,878,984","2,991,146","7,468.00","20,777.00",10.58,2.45,9.58,3.18,"746,890","Quý 4/2008
01/10-31/12
CKT/HN"
"8,377,067","1,050,196","484,837","405,963","322,160","5,811,411","7,465,571","3,673,379","3,658,224","3,023,642","8,098.00","21,003.00",10.68,4.85,11.28,4.64,"768,550","Quý 3/2008
01/07-30/09
CKT/HN"
"8,799,390","935,528","377,964","314,615","231,859","4,905,576","6,407,989","3,075,612","3,065,105","2,686,794","7,293.00","19,014.00",9.60,3.58,8.79,3.75,"645,584","Quý 2/2008
01/04-30/06
CKT/HN"
"7,438,682","875,967","380,665","317,120","219,520","4,530,553","5,966,095","2,760,314","2,595,308","2,590,779","7,793.00","18,353.00",5.76,4.26,8.74,3.63,"615,002","Quý 1/2008
01/01-31/03
CKT/HN"
"9,113,084","1,016,029","415,499","360,779","330,496","4,743,460","6,145,766","3,235,536","3,226,761","2,384,335","8,366.00","16,871.00",5.98,3.96,14.16,5.35,"525,896","Quý 4/2007
01/10-31/12
CKT/HN"
"7,464,328","720,966","197,335","175,795","120,469","4,812,220","6,200,412","3,380,842","3,306,146","2,282,579","8,464.00","24,212.00",10.81,2.36,5.32,1.90,"536,991","Quý 3/2007
01/07-30/09
CKT/HN"
"8,830,457","961,511","327,591","272,587","201,584","5,108,073","6,481,234","3,749,750","3,672,149","2,245,553","8,149.00","23,819.00",6.14,3.09,9.20,3.12,"485,932","Quý 2/2007
01/04-30/06
CKT/HN"
"8,403,531","689,552","287,888","246,359","186,105","5,220,523","6,451,497","3,895,456","3,819,710","2,138,347","8,883.00","23,124.00",10.81,2.93,9.12,3.15,"417,693","Quý 3/2007
01/07-30/09
CKT/HN"
"9,376,397","895,754","350,400","312,744","272,507","4,366,815","5,346,280","3,068,775","3,002,230","1,988,409","9,313.00","21,501.00",23.94,3.34,13.73,5.97,"289,096","Quý 2/2007
01/04-30/06
CKT/HN"
"6,238,109","480,384","116,782","128,385","87,812","3,154,149","3,784,711","1,520,008","1,388,572","1,980,926","9,444.00","21,420.00",28.91,2.06,4.50,2.29,"283,776","Quý 1/2007
01/01-31/03
CKT/HN"
"6,070,562","561,246","268,288","256,617","210,922","3,422,271","3,868,744","1,744,538","1,744,538","1,919,409","9,451.00","21,043.00",32.48,4.23,11.72,5.88,"204,797","Quý 4/2006
01/10-31/12
CKT/HN"
"6,238,109","480,384","116,782","128,385","87,812","3,154,149","3,784,711","1,520,008","1,388,572","1,980,926","9,444.00","21,420.00",28.91,2.06,4.50,2.29,"283,776",
"6,070,562","561,246","268,288","256,617","210,922","3,422,271","3,868,744","1,744,538","1,744,538","1,919,409","9,451.00","21,043.00",32.48,4.23,11.72,5.88,"204,797",
"5,663,585","402,931","162,197","179,456","155,047","2,947,791","3,308,996","1,486,010","1,371,071","1,678,956","6,305.00","27,565.00",85.80,3.17,9.63,4.62,"144,031",
"7,142,553","614,657","243,988","240,015","228,362","3,072,816","3,407,866","1,714,506","1,588,332","1,570,106","3,755.00","25,775.00",122.49,3.36,29.09,13.40,"123,254",
