Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"2,873,344","1,062,126","649,616","600,491","601,479","5,118,619","8,531,062","2,039,923","1,783,628","6,455,774","10,406.00","18,379.00",7.21,20.90,9.72,7.51,"35,365","Quý 4/2009
01/10-31/12
CKT/HN"
"2,997,653","1,140,649","839,488","730,299","730,636","4,143,510","7,491,290","1,524,362","1,281,055","5,915,756","10,891.00","16,841.00",8.26,24.36,12.68,10.20,"51,173","Quý 3/2009
01/07-30/09
CKT/HN"
"2,675,245","1,005,067","557,769","564,490","554,628","4,047,901","6,839,989","1,178,857","955,957","5,609,622","9,031.00","31,938.00",10.19,21.10,10.35,8.57,"51,510","Quý 2/2009
01/04-30/06
CKT/HN"
"2,068,581","670,767","439,532","485,425","485,183","3,301,808","6,105,480","948,448","751,681","5,106,177","8,086.00","29,132.00",9.71,23.47,9.93,8.04,"50,855","Quý 1/2009
01/01-31/03
CKT/HN"
"2,252,114","659,376","225,316","211,670","208,032","3,396,042","5,933,415","1,462,091","1,315,479","4,420,655","7,082.00","25,221.00",11.72,9.40,4.52,3.51,"50,669","Quý 4/2008
01/10-31/12
CKT/HN"
"2,114,610","690,494","354,570","337,223","335,094","3,517,637","5,933,140","1,096,828","1,007,446","4,789,281","7,104.00","27,324.00",12.74,15.95,7.08,5.55,"47,031","Quý 3/2008
01/07-30/09
CKT/HN"
"2,063,688","731,802","439,653","388,929","388,946","3,578,980","6,143,761","1,423,670","1,300,417","4,676,510","6,240.00","26,681.00",16.99,18.85,8.36,6.39,"43,581","Quý 2/2008
01/04-30/06
CKT/HN"
"1,808,133","553,812","334,427","308,827","309,200","3,321,609","6,022,145","1,337,747","1,207,521","4,631,260","5,459.00","26,263.00",19.97,17.08,6.98,5.40,"35,577","Quý 1/2008
01/01-31/03
CKT/HN"
"1,870,471","500,859","193,568","211,892","211,892","3,019,313","5,344,725","1,130,915","990,406","4,213,809","5,601.00","24,041.00",29.64,11.33,5.08,4.00,0,"Quý 4/2007
01/10-31/12
CKT/CTM"
"1,837,269","492,194","172,736","183,642","183,642","2,746,773","5,245,349","1,111,175","1,000,372","4,134,174","5,452.00","14,263.00",33.38,10.00,4.59,3.54,,"Quý 3/2007
01/07-30/09
CKT/CTM"
"1,733,971","482,469","220,699","248,366","248,366","2,432,490","5,136,176","1,268,088","1,169,193","3,868,088","5,388.00","22,069.00",33.41,14.32,6.40,5.00,0,"Quý 2/2007
01/04-30/06
CKT/CTM"
"1,380,154","390,665","273,153","323,192","323,192","1,955,977","4,800,590","906,095","757,970","3,894,496","5,356.00","23,327.00",34.36,23.42,9.83,7.69,,"Quý 1/2007
01/01-31/03
CKT/ĐL"
"1,876,865","356,860","57,207","162,936","162,936","1,950,826","3,563,657","892,269","803,129","2,671,388","4,611.00","16,801.00",27.11,8.68,6.27,4.32,,"Quý 4/2006
01/10-31/12
CKT/ĐL"
"1,920,872","472,145","150,134","150,140","150,140","2,693,286","3,986,753","1,462,972","1,375,526","2,523,781","4,387.00","15,872.00",18.92,7.82,6.11,3.72,,"Quý 3/2006
01/07-30/09
CKT/ĐL"
"1,536,649","440,536","226,287","225,188","225,188","3,001,994","4,084,234","1,695,578","1,530,126","2,388,656","3,443.00","15,023.00",23.53,14.65,9.54,5.57,,"Quý 2/2006
01/04-30/06
CKT/ĐL"
"1,284,717","336,930","190,992","194,960","194,960","2,484,673","4,005,786","1,675,598","1,582,359","2,330,188","3,129.00","14,654.00",25.88,15.18,8.69,4.93,,"Quý 1/2006
01/01-31/03
CKT/ĐL"
"1,096,443","257,672","125,025","127,299","127,299","2,900,223","3,849,781","1,695,864","1,651,838","2,153,917","2,967.00","13,546.00",0,11.61,11.82,6.61,,"Quý 4/2005
01/10-31/12
CKT/ĐL"
"1,702,764","379,101","175,183","175,318","175,318",,,,,,0,0,0,10.30,0,0,,"Quý 2/2005
01/04-30/06
CKT/ĐL"
"1,014,780","245,887","132,486","169,154","169,154",,,,,,0,0,0,16.67,0,0,,"Quý 1/2005
01/01-31/03
CKT/ĐL"
"1,096,443","257,672","125,025","127,299","127,299","2,900,223","3,849,781","1,695,864","1,651,838","2,153,917","2,967.00","13,546.00",,11.61,11.82,6.61,,"Quý 4/2005
01/10-31/12
CKT/ĐL"
"1,702,764","379,101","175,183","175,318","175,318",,,,,,0,0,,10.30,0,0,,"Quý 2/2005
01/04-30/06
CKT/ĐL"
"1,014,780","245,887","132,486","169,154","169,154",,,,,,0,0,,16.67,0,0,,"Quý 1/2005
01/01-31/03
CKT/ĐL"
"929,614","220,541","84,445","85,705","85,705",,,,,,0,0,,9.22,0,0,,"Quý 4/2004
01/10-31/12
CKT/ĐL"
