Date,Close,Open,High,Low,Vol.
2024-06-06,32600.0,32500.0,32700.000000000004,32350.0,7451100.0
2024-06-05,32400.0,32900.0,32950.0,32400.0,8426500.0
2024-06-04,32800.0,32700.000000000004,32950.0,32450.000000000004,8982900.0
2024-06-03,32600.0,32250.0,32800.0,32049.999999999996,18001600.0
2024-05-31,31900.0,31800.0,32200.000000000004,31800.0,6340100.0
2024-05-30,31800.0,31350.0,32100.0,31350.0,10201600.0
2024-05-29,31650.0,32200.000000000004,32200.000000000004,31650.0,15671900.0
2024-05-28,32200.000000000004,32450.000000000004,32500.0,31700.0,24876000.0
2024-05-27,32400.0,32700.000000000004,32700.000000000004,32100.0,8217500.0
2024-05-24,32500.0,33100.0,33900.0,32299.999999999996,14091600.0
2024-05-23,33250.0,32950.0,33250.0,32600.0,5573500.0
2024-05-22,33000.0,33850.0,33900.0,32700.000000000004,12259866.0
2024-05-21,33650.0,33450.0,34100.0,33350.0,6179100.0
2024-05-20,33350.0,33300.0,33900.0,33050.0,12318300.0
2024-05-17,33100.0,33350.0,33400.0,32900.0,6148500.0
2024-05-16,33200.0,32800.0,33700.0,32549.999999999996,14316700.0
2024-05-15,32350.0,32450.000000000004,33000.0,32250.0,8175800.0
2024-05-14,32299.999999999996,32400.0,32700.000000000004,32250.0,5716900.0
2024-05-13,32299.999999999996,32850.0,32850.0,32250.0,7051000.0
2024-05-10,32850.0,33150.0,33150.0,32549.999999999996,4809700.0
2024-05-09,32900.0,32800.0,33400.0,32450.000000000004,7243700.0
2024-05-08,32600.0,32650.0,33000.0,32350.0,8601000.0
2024-05-07,32800.0,33200.0,33250.0,32800.0,5073600.0
2024-05-06,33200.0,32200.0,34600.0,30400.0,7630000.0
2024-05-03,32400.0,32350.0,32850.0,31100.0,6160000.0
2024-05-02,32350.0,32800.0,33350.0,32000.0,6360000.0
2024-04-26,32800.0,30700.0,33200.0,30700.0,8970000.0
2024-04-25,33000.0,32950.0,33900.0,31100.0,4860000.0
2024-04-24,32950.0,29300.0,33000.0,29300.0,9010000.0
2024-04-23,31500.0,32300.0,34550.0,31150.0,10690000.0
2024-04-22,32300.0,32000.0,33650.0,31300.0,7770000.0
2024-04-19,31600.0,32400.0,33950.0,31250.0,13040000.0
2024-04-17,31700.0,34400.0,36000.0,31700.0,19100000.0
2024-04-16,34050.0,33500.0,34050.0,32800.0,15410000.0
2024-04-15,33450.0,35900.0,36300.0,33400.0,29290000.0
2024-04-12,35900.0,33950.0,36050.0,31500.0,23780000.0
2024-04-11,33700.0,33650.0,33700.0,32250.0,4180000.0
2024-04-10,33650.0,34250.0,36500.0,32600.0,4300000.0
2024-04-09,34250.0,33600.0,34300.0,33100.0,5240000.0
2024-04-08,33500.0,33050.0,34200.0,31050.0,12010000.0
2024-04-05,33200.0,33500.0,34050.0,33100.0,9830000.0
2024-04-04,33550.0,34200.0,34850.0,33500.0,7100000.0
2024-04-03,34050.0,35250.0,35250.0,33900.0,9110000.0
2024-04-02,34900.0,35000.0,37400.0,34100.0,6820000.0
2024-04-01,35000.0,35500.0,35550.0,34750.0,7920000.0
2024-03-29,35550.0,35750.0,35850.0,33300.0,4490000.0
