Date,Close,Open,High,Low,Vol.
2024-06-06,21700.0,21800.0,21800.0,21550.0,1707800.0
2024-06-05,21700.0,21450.0,21700.0,21450.0,4814300.0
2024-06-04,21600.0,21600.0,21600.0,21400.0,1588500.0
2024-06-03,21600.0,21500.0,21700.0,21400.0,11019900.0
2024-05-31,21500.0,21500.0,21500.0,21300.0,1554800.0
2024-05-30,21500.0,21400.0,21550.0,21300.0,4128400.0
2024-05-29,21600.0,21650.0,21650.0,21300.0,1908900.0
2024-05-28,21650.0,21650.0,21650.0,21400.0,1794600.0
2024-05-27,21650.0,21750.0,21850.0,21600.0,1599200.0
2024-05-24,21850.0,21950.0,21950.0,21600.0,1869800.0
2024-05-23,21950.0,21900.0,21950.0,21650.0,1793000.0
2024-05-22,21900.0,21950.0,22000.0,21700.0,1707100.0
2024-05-21,21950.0,22000.0,22000.0,21750.0,1643200.0
2024-05-20,22000.0,22000.0,22050.0,21800.0,8657800.0
2024-05-17,22000.0,22100.0,22100.0,21700.0,1717000.0
2024-05-16,22100.0,21750.0,22150.0,21600.0,1895000.0
2024-05-15,21750.0,21700.0,21750.0,21550.0,4978900.0
2024-05-14,21700.0,21800.0,21800.0,21600.0,1292400.0
2024-05-13,21750.0,21800.0,21850.0,21600.0,1855700.0
2024-05-10,21750.0,21950.0,22000.0,21700.0,2040500.0
2024-05-09,21950.0,21950.0,22000.0,21750.0,1979600.0
2024-05-08,21900.0,22050.0,22100.0,21750.0,2727000.0
2024-05-07,22050.0,22000.0,22050.0,21800.0,8966100.0
2024-05-06,22000.0,21950.0,22000.0,21700.0,1880000.0
2024-05-03,21900.0,22000.0,22200.0,21650.0,1910000.0
2024-05-02,21950.0,22000.0,22050.0,21600.0,1790000.0
2024-04-26,21500.0,22000.0,22000.0,21400.0,2030000.0
2024-04-25,22000.0,22100.0,22100.0,21600.0,2170000.0
2024-04-24,22100.0,22000.0,22150.0,21850.0,2020000.0
2024-04-23,22000.0,22200.0,22200.0,21400.0,2200000.0
2024-04-22,22150.0,22100.0,22300.0,21700.0,2200000.0
2024-04-19,22100.0,22200.0,22250.0,21500.0,2110000.0
2024-04-17,22200.0,22150.0,22550.0,20600.0,2150000.0
2024-04-16,22150.0,22300.0,22400.0,20800.0,2590000.0
2024-04-15,22350.0,22600.0,22600.0,21050.0,2150000.0
2024-04-12,22600.0,22000.0,22600.0,22000.0,2560000.0
