Date,Close,Open,High,Low,Vol.
2024-06-06,80300.0,81500.0,81500.0,80200.0,1056218.0
2024-06-05,80600.0,80900.0,82200.0,80600.0,1806200.0
2024-06-04,80800.0,80400.0,81900.0,80300.0,1515300.0
2024-06-03,80400.0,80900.0,81700.0,80400.0,1706000.0
2024-05-31,80100.0,81500.0,81700.0,80100.0,1429500.0
2024-05-30,81100.0,81900.0,82300.0,80100.0,2355400.0
2024-05-29,82200.0,83000.0,84500.0,81100.0,3751900.0
2024-05-28,81900.0,82000.0,82400.0,81000.0,2252700.0
2024-05-27,81000.0,79000.0,81300.0,78100.0,2133900.0
2024-05-24,79000.0,80500.0,81500.0,77800.0,2572800.0
2024-05-23,79900.0,76600.0,79900.0,76400.0,4014700.0
2024-05-22,76600.0,77300.0,77300.0,76500.0,832300.0
2024-05-21,76700.0,76200.0,77600.0,76000.0,1696800.0
2024-05-20,76000.0,76100.0,76800.0,76000.0,1110600.0
2024-05-17,75700.0,76200.0,76200.0,75500.0,965100.0
2024-05-16,75900.0,76000.0,76500.0,75900.0,1116700.0
2024-05-15,75500.0,75200.0,75800.0,74900.0,883300.0
2024-05-14,75200.0,75500.0,75900.0,74900.0,785300.0
2024-05-13,75200.0,75900.0,76100.0,75000.0,630700.0
2024-05-10,75500.0,76300.0,76800.0,74900.0,650900.0
2024-05-09,76100.0,77500.0,77500.0,76100.0,772400.0
2024-05-08,77400.0,76400.0,77600.0,75200.0,1383100.0
2024-05-07,76300.0,75400.0,76300.0,74700.0,1496500.0
2024-05-06,74800.0,74300.0,75200.0,74200.0,890300.0
2024-05-03,74200.0,73900.0,74700.0,73900.0,514700.00000000006
2024-05-02,73900.0,73600.0,74300.0,68500.0,692000.0
2024-04-26,73500.0,74000.0,74200.0,73500.0,774000.0
2024-04-25,74000.0,75000.0,75000.0,74000.0,788500.0
2024-04-24,74600.0,74000.0,75000.0,74000.0,852300.0
2024-04-23,74200.0,75000.0,75600.0,74000.0,474500.0
2024-04-22,75100.0,75000.0,75600.0,74900.0,799200.0
2024-04-19,75000.0,76500.0,76500.0,74700.0,884100.0
2024-04-17,75100.0,76000.0,76500.0,75000.0,650100.0
2024-04-16,76000.0,76200.0,76900.0,75000.0,1120000.0
2024-04-15,76000.0,79500.0,80600.0,74200.0,1100000.0
2024-04-12,79700.0,79000.0,79800.0,78800.0,360000.0
2024-04-11,78800.0,77500.0,79300.0,77500.0,645500.0
2024-04-10,79900.0,81300.0,81300.0,79200.0,637900.0
2024-04-09,79900.0,80000.0,80500.0,79500.0,623600.0
2024-04-08,79800.0,80900.0,81000.0,79100.0,675700.0
2024-04-05,80900.0,80100.0,83100.0,80100.0,1380000.0
2024-04-04,81500.0,81800.0,82300.0,81100.0,751900.0
2024-04-03,81800.0,82500.0,83400.0,81600.0,1760000.0
2024-04-02,82500.0,81000.0,82600.0,79900.0,1740000.0
2024-04-01,80600.0,80200.0,80700.0,79800.0,747700.0
2024-03-29,80200.0,82400.0,82400.0,80100.0,616400.0
2024-03-28,80300.0,81000.0,81000.0,79900.0,774800.0
2024-03-27,80300.0,81000.0,81700.0,80200.0,847300.0
