Date,Close,Open,High,Low,Vol.
2024-06-06,34800.0,35200.0,35450.0,34600.0,3062400.0
2024-06-05,35150.0,35500.0,36300.0,35100.0,4617800.0
2024-06-04,35100.0,35000.0,35750.0,34950.0,3282900.0
2024-06-03,35000.0,35700.0,35700.0,35000.0,4507700.0
2024-05-31,35150.0,36100.0,36200.0,35150.0,2634500.0
2024-05-30,36000.0,34300.0,36250.0,34050.0,8152400.0
2024-05-29,34900.0,35550.0,36900.0,34800.0,6868300.0
2024-05-28,35600.0,35500.0,35600.0,34950.0,4463400.0
2024-05-27,35250.0,34200.0,35950.0,33550.0,7430800.0
2024-05-24,34250.0,33000.0,35000.0,32800.0,12307800.0
2024-05-23,33400.0,32600.0,33450.0,32400.0,4457900.0
2024-05-22,32800.0,33800.0,33950.0,32600.0,5201400.0
2024-05-21,33350.0,33600.0,33750.0,32900.0,4039900.0
2024-05-20,33600.0,33650.0,34500.0,33500.0,5485900.0
2024-05-17,33350.0,32400.0,34150.0,32299.999999999996,6321300.0
2024-05-16,32549.999999999996,33000.0,33400.0,32500.0,4267900.0
2024-05-15,32750.0,32850.0,32850.0,32299.999999999996,3872800.0
2024-05-14,32500.0,32200.000000000004,32850.0,32100.0,4214600.0
2024-05-13,32000.0,31800.0,32250.0,31300.0,3373900.0
2024-05-10,31650.0,31800.0,31900.0,31200.0,3561300.0
2024-05-09,31750.0,31800.0,32700.000000000004,31600.0,5780200.0
2024-05-08,31700.0,31000.0,32150.0,30500.0,5303200.0
2024-05-07,31450.0,31300.0,31750.0,30800.0,3851600.0
2024-05-06,31200.0,29850.0,31250.0,29500.0,6480000.0
2024-05-03,29400.0,30300.0,30300.0,29350.0,3960000.0
2024-05-02,30000.0,30000.0,30350.0,29250.0,3820000.0
2024-04-26,30000.0,29050.0,30450.0,29050.0,3970000.0
2024-04-25,29400.0,29700.0,30000.0,29150.0,3440000.0
2024-04-24,29500.0,28100.0,29500.0,27850.0,6240000.0
2024-04-23,27600.0,28650.0,28900.0,27050.0,4110000.000000001
2024-04-22,28700.0,28900.0,29050.0,28200.0,2520000.0
2024-04-19,28100.0,27500.0,29400.0,27500.0,5880000.0
2024-04-17,28650.0,30700.0,30700.0,28650.0,4710000.0
2024-04-16,30350.0,30000.0,30350.0,29300.0,5270000.0
2024-04-15,29800.0,32000.0,33250.0,29800.0,7400000.0
2024-04-12,32000.0,31950.0,32250.0,31650.0,2990000.0
2024-04-11,31900.0,31200.0,32300.0,31150.0,2720000.0
2024-04-10,31650.0,32450.0,32500.0,31600.0,2550000.0
2024-04-09,32300.0,32000.0,32350.0,31600.0,2030000.0
2024-04-08,31700.0,31600.0,32400.0,31300.0,3620000.0
2024-04-05,31500.0,32800.0,33000.0,31500.0,7350000.0
2024-04-04,33100.0,34150.0,34400.0,33100.0,5220000.0
