Date,Close,Open,High,Low,Vol.
2024-06-06,46500.0,47250.0,47850.0,46500.0,916400.0
2024-06-05,47250.0,45900.0,48300.0,45900.0,2402500.0
2024-06-04,45850.0,45500.0,46400.0,45200.0,997300.0
2024-06-03,45350.0,45600.0,46300.0,45000.0,659300.0
2024-05-31,44850.0,45000.0,46400.0,44850.0,922900.0
2024-05-30,45000.0,45500.0,45500.0,44300.0,1906600.0
2024-05-29,45600.0,47200.0,47200.0,45500.0,1257800.0
2024-05-28,47000.0,46450.0,47350.0,45850.0,1528300.0
2024-05-27,46400.0,44600.0,46900.0,44600.0,2540600.0
2024-05-24,44600.0,45000.0,46000.0,43750.0,1772000.0
2024-05-23,44600.0,41600.0,44600.0,41550.0,2686300.0
2024-05-22,41700.0,42300.0,42400.0,41600.0,482800.0
2024-05-21,42150.0,42400.0,42900.0,41750.0,658000.0
2024-05-20,42350.0,41500.0,42650.0,40950.0,1061000.0
2024-05-17,40850.0,40800.0,40900.0,40550.0,286900.0
2024-05-16,40800.0,41000.0,41000.0,40650.0,193900.0
2024-05-15,40550.0,40350.0,40700.0,40350.0,185400.0
2024-05-14,40400.0,40450.0,40750.0,40100.0,162600.0
2024-05-13,40450.0,40700.0,41200.0,40450.0,145900.0
2024-05-10,40700.0,40900.0,41500.0,40550.0,244000.0
2024-05-09,40950.0,41300.0,41500.0,40600.0,235600.0
2024-05-08,41100.0,40950.0,41550.0,40800.0,332400.0
2024-05-07,41400.0,40550.0,41550.0,40550.0,596900.0
2024-05-06,40550.0,40050.0,40550.0,40000.0,246300.0
2024-05-03,40000.0,39600.0,40650.0,39600.0,297400.0
2024-05-02,40100.0,39050.0,40400.0,39050.0,359200.0
2024-04-26,39450.0,39300.0,39450.0,38900.0,303900.0
2024-04-25,39300.0,39450.0,39700.0,39200.0,154300.0
2024-04-24,39600.0,38200.0,39700.0,38200.0,239800.0
2024-04-23,39250.0,39600.0,39600.0,38850.0,209900.0
2024-04-22,39600.0,38500.0,40050.0,38500.0,446700.0
2024-04-19,38500.0,38600.0,39000.0,38200.0,606400.0
2024-04-17,38600.0,39350.0,40000.0,38450.0,779300.0
2024-04-16,39350.0,39800.0,40000.0,39000.0,618000.0
2024-04-15,39700.0,41700.0,41900.0,39200.0,405000.0
2024-04-12,41900.0,42000.0,42000.0,41300.0,132400.0
2024-04-11,41450.0,41550.0,41550.0,41250.0,173600.0
2024-04-10,41550.0,39600.0,41850.0,39600.0,233000.0
2024-04-09,41550.0,41700.0,41950.0,41300.0,302900.0
2024-04-08,41550.0,41350.0,42000.0,41350.0,323700.0
2024-04-05,41700.0,42100.0,42100.0,41700.0,274700.0
2024-04-04,42100.0,42000.0,42600.0,42000.0,199200.0
2024-04-03,42300.0,42400.0,42950.0,42000.0,273000.0
2024-04-02,42350.0,42400.0,42700.0,41900.0,471000.0
2024-04-01,42400.0,42750.0,42950.0,42300.0,268000.0
2024-03-29,42750.0,43550.0,43550.0,42650.0,526100.0
2024-03-28,43350.0,43300.0,43550.0,43200.0,368000.0
2024-03-27,43300.0,43200.0,43300.0,42700.0,546900.0
2024-03-26,42900.0,39850.0,43050.0,39850.0,297100.0
2024-03-25,42800.0,42900.0,43300.0,42400.0,728400.0
