Date,Close,Open,High,Low,Vol.
2024-06-06,22400.0,22600.0,22600.0,22300.0,3668300.0
2024-06-05,22400.0,22500.0,22800.0,22400.0,9256404.0
2024-06-04,22400.0,22400.0,22500.0,22250.0,3476400.0
2024-06-03,22300.0,21850.0,22450.0,21850.0,4929200.0
2024-05-31,21750.0,22000.0,22000.0,21750.0,3286200.0
2024-05-30,22000.0,21850.0,22000.0,21600.0,5831900.0
2024-05-29,21900.0,22350.0,22450.0,21900.0,23039200.0
2024-05-28,22300.0,22300.0,22300.0,22000.0,48235627.0
2024-05-27,22000.0,22050.0,22150.0,21850.0,25589500.0
2024-05-24,22000.0,22000.0,22700.0,21800.0,24934200.0
2024-05-23,22250.0,22100.0,22250.0,22000.0,13820300.0
2024-05-22,22200.0,22600.0,22750.0,22200.0,22185300.0
2024-05-21,22600.0,22650.0,22650.0,22200.0,26207600.0
2024-05-20,22500.0,22600.0,22650.0,22400.0,22439300.0
2024-05-17,22300.0,22300.0,22400.0,22200.0,4327200.0
2024-05-16,22300.0,22200.0,22350.0,22100.0,10575800.0
2024-05-15,21850.0,22050.0,22050.0,21750.0,5311340.0
2024-05-14,21750.0,21600.0,22200.0,21400.0,6993100.0
2024-05-13,21350.0,21550.0,21650.0,21300.0,4635100.0
2024-05-10,21550.0,21600.0,21600.0,21450.0,2714000.0
2024-05-09,21600.0,21600.0,21750.0,21400.0,3079500.0
2024-05-08,21550.0,21500.0,21650.0,21350.0,24133900.0
2024-05-07,21700.0,21850.0,21900.0,21550.0,2608500.0
2024-05-06,21700.0,21400.0,21750.0,21350.0,4440000.0
2024-05-03,21200.0,21500.0,21750.0,21200.0,5630000.0
2024-05-02,21400.0,21050.0,21450.0,21000.0,3170000.0
2024-04-26,21100.0,20900.0,21300.0,20900.0,2910000.0
2024-04-25,21150.0,21400.0,21500.0,21050.0,3790000.0
2024-04-24,21400.0,21100.0,21600.0,21100.0,4440000.0
2024-04-23,21000.0,21200.0,21550.0,20800.0,6480000.0
2024-04-22,21200.0,21150.0,21400.0,21100.0,5870000.0
2024-04-19,21100.0,21000.0,21500.0,20950.0,8950000.0
2024-04-17,21500.0,22300.0,22350.0,21500.0,7520000.0
2024-04-16,21900.0,21949.0,22337.0,21366.0,9410000.0
2024-04-15,21851.0,22920.0,23114.0,21803.0,11380000.0
2024-04-12,22920.0,22434.0,22920.0,22191.0,9060000.0
2024-04-11,22240.0,22143.0,22240.0,21949.0,4590000.0
2024-04-10,22240.0,22580.0,22580.0,22240.0,6590000.0
2024-04-09,22386.0,22046.0,22434.0,21997.0,5830000.0
2024-04-08,22046.0,22046.0,22191.0,21900.0,8400000.0
2024-04-05,22046.0,22240.0,22386.0,21949.0,7370000.0
2024-04-04,22531.0,22871.0,23017.0,22531.0,7720000.0
2024-04-03,22871.0,23405.0,23405.0,22823.0,8770000.0
2024-04-02,23405.0,23357.0,23600.0,22871.0,11610000.0
2024-04-01,23600.0,23697.0,23891.0,23260.0,5850000.0
2024-03-29,24600.0,24250.0,25000.0,24000.0,6180000.0
2024-03-28,24250.0,24500.0,24750.0,23950.0,8010000.0
2024-03-27,24200.0,24350.0,24350.0,23950.0,5550000.0
2024-03-26,24350.0,23900.0,24400.0,23850.0,5060000.0
2024-03-25,23950.0,24150.0,24750.0,23650.0,7520000.0
2024-03-22,24200.0,24300.0,24650.0,23800.0,9230000.0
2024-03-21,24300.0,23900.0,24400.0,23650.0,10260000.0
2024-03-20,23600.0,22350.0,23600.0,22000.0,27150000.0
2024-03-19,22100.0,22250.0,22350.0,21900.0,3970000.0
2024-03-18,22250.0,22750.0,22750.0,21750.0,6280000.0
2024-03-15,22500.0,21850.0,22600.0,21700.0,8530000.0
2024-03-14,21700.0,22150.0,22150.0,21600.0,3860000.0
2024-03-13,22050.0,21500.0,22100.0,21250.0,4030000.000000001
2024-03-12,21300.0,21400.0,21400.0,21200.0,3520000.0
2024-03-11,21300.0,21550.0,21650.0,21300.0,3390000.0
2024-03-08,21550.0,21950.0,22000.0,21550.0,7430000.0
2024-03-07,21850.0,21950.0,21950.0,21750.0,5710000.0
2024-03-06,21900.0,22200.0,22350.0,21850.0,5290000.0
2024-03-05,22100.0,22000.0,22100.0,21800.0,3310000.0
2024-03-04,22000.0,22000.0,22150.0,21600.0,7380000.0
2024-03-01,21900.0,21850.0,21900.0,21550.0,4830000.0
2024-02-29,21900.0,22400.0,22400.0,21800.0,6360000.0
