Date,Close,Open,High,Low,Vol.
2024-06-06,23700.0,23700.0,23950.0,23500.0,6240100.0
2024-06-05,23700.0,24000.0,24150.0,23700.0,5965400.0
2024-06-04,23950.0,24100.0,24150.0,23800.0,5278200.0
2024-06-03,24000.0,23350.0,24000.0,23300.0,6683600.0
2024-05-31,23250.0,23150.0,23300.0,23100.0,4346800.0
2024-05-30,23100.0,23300.0,23350.0,22800.0,8706000.0
2024-05-29,23450.0,24150.0,24150.0,23450.0,22622600.0
2024-05-28,24150.0,23900.0,24150.0,23550.0,7911400.0
2024-05-27,23800.0,24200.0,24300.0,23700.0,16142300.0
2024-05-24,24200.0,24500.0,24750.0,24000.0,7296000.0
2024-05-23,24700.0,24400.0,24700.0,24000.0,7823600.0
2024-05-22,24350.0,24750.0,24750.0,24350.0,5713600.0
2024-05-21,24700.0,24850.0,24900.0,24400.0,8034700.0
2024-05-20,24850.0,24350.0,25100.0,24350.0,27094100.0
2024-05-17,24300.0,24250.0,24550.0,24050.0,17292100.0
2024-05-16,24200.0,23600.0,24250.0,23550.0,11158200.0
2024-05-15,23500.0,23350.0,23600.0,23300.0,7508600.0
2024-05-14,23300.0,23300.0,23700.0,23300.0,10556900.0
2024-05-13,23250.0,23700.0,23750.0,23250.0,7028400.0
2024-05-10,23700.0,23750.0,23800.0,23400.0,8273500.0
2024-05-09,23700.0,24100.0,24200.0,23550.0,7899800.0
2024-05-08,24100.0,24250.0,24300.0,23850.0,14005125.0
2024-05-07,24300.0,24400.0,24400.0,23850.0,16545500.0
2024-05-06,24450.0,22800.0,26000.0,22800.0,9080000.0
2024-05-03,25200.0,23400.0,25200.0,23400.0,11390000.0
2024-05-02,23650.0,23600.0,23700.0,23350.0,6120000.0
2024-04-26,21000.0,23100.0,23600.0,20950.0,9980000.0
2024-04-25,22500.0,22450.0,22650.0,22250.0,7370000.0
2024-04-24,22400.0,22200.0,22600.0,22100.0,9420000.0
2024-04-23,22200.0,23950.0,23950.0,21600.0,8710000.0
2024-04-22,22400.0,22350.0,22700.0,20800.0,8550000.0
2024-04-19,22250.0,21400.0,23000.0,21400.0,9470000.0
2024-04-17,23000.0,23700.0,23700.0,22400.0,8720000.0
2024-04-16,23250.0,23500.0,23650.0,22000.0,6910000.0
2024-04-15,23500.0,24300.0,24350.0,23000.0,9740000.0
2024-04-12,24300.0,24000.0,24400.0,23650.0,8520000.0
2024-04-11,24000.0,23600.0,24000.0,23500.0,5640000.0
2024-04-10,23950.0,23900.0,24000.0,22300.0,6270000.0
2024-04-09,23900.0,23950.0,24050.0,23700.0,5580000.0
2024-04-08,23900.0,23350.0,24000.0,23300.0,8080000.0
2024-04-05,23350.0,23800.0,23800.0,23200.0,6320000.0
2024-04-04,23350.0,23400.0,23800.0,23250.0,6110000.0
2024-04-03,23400.0,22850.0,24000.0,22300.0,6570000.0
2024-04-02,23900.0,24000.0,24000.0,23500.0,5780000.0
2024-04-01,24000.0,24100.0,24150.0,22850.0,6010000.0
2024-03-29,24100.0,23000.0,24300.0,23000.0,6440000.0
2024-03-28,24250.0,23500.0,24250.0,23500.0,5400000.0
2024-03-27,24150.0,24200.0,25200.0,23950.0,5710000.0
2024-03-26,24200.0,23550.0,24200.0,22100.0,7230000.0
2024-03-25,23550.0,23800.0,23850.0,23100.0,6290000.0
2024-03-22,23800.0,23300.0,25300.0,23300.0,6530000.0
2024-03-21,23900.0,22650.0,23900.0,22550.0,11190000.0
2024-03-20,22600.0,22400.0,22800.0,21800.0,6220000.0
2024-03-19,22350.0,22300.0,22350.0,21550.0,8890000.0
2024-03-18,22300.0,23000.0,23050.0,22300.0,6630000.0
2024-03-15,23000.0,22800.0,23100.0,22650.0,5970000.0
2024-03-14,22950.0,23150.0,23150.0,22750.0,5690000.0
2024-03-13,23100.0,22950.0,23200.0,22600.0,6350000.0
2024-03-12,22950.0,23050.0,23050.0,22450.0,6580000.0
2024-03-11,23100.0,23000.0,23150.0,22750.0,6430000.0
2024-03-08,23000.0,23150.0,23150.0,22750.0,6180000.0
2024-03-07,23150.0,23100.0,23400.0,23100.0,5640000.0
2024-03-06,23350.0,23350.0,23500.0,23250.0,3510000.0
2024-03-05,23500.0,23300.0,23500.0,23000.0,6840000.0
2024-03-04,23300.0,23300.0,23350.0,23100.0,5920000.0
2024-03-01,23300.0,23300.0,23350.0,22950.0,6110000.0
2024-02-29,23300.0,23200.0,23400.0,23150.0,6020000.0
2024-02-28,23200.0,22700.0,23200.0,22700.0,6190000.0
2024-02-27,22700.0,22700.0,23000.0,22550.0,6310000.0
2024-02-26,22700.0,22500.0,22900.0,22450.0,5610000.0
2024-02-23,22650.0,22900.0,23050.0,22500.0,7480000.0
2024-02-22,22900.0,23500.0,23500.0,22900.0,7170000.0
2024-02-21,23500.0,23550.0,23750.0,23200.0,6160000.0
2024-02-20,23600.0,23300.0,23650.0,23000.0,6840000.0
2024-02-19,23350.0,23300.0,23350.0,22950.0,6620000.0
2024-02-16,23300.0,23600.0,23650.0,23200.0,6110000.0
2024-02-15,23650.0,23650.0,23800.0,23250.0,6880000.0
2024-02-07,23550.0,23050.0,23550.0,22950.0,5970000.0
2024-02-06,23000.0,22650.0,23050.0,22600.0,6050000.0
2024-02-05,22650.0,22350.0,22700.0,22200.0,9560000.0
2024-02-02,22350.0,21800.0,22350.0,21800.0,9320000.0
2024-02-01,21800.0,21800.0,21900.0,21700.0,6250000.0
2024-01-31,21800.0,21850.0,22000.0,21500.0,5770000.0
2024-01-30,21850.0,21450.0,21950.0,21400.0,6300000.0
